# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
# metadata,"exported_by: ""dive:python""","exported_time: ""Tue Jul 28 20:33:36 2026"""
0,2024_10_08_10-08-08.jpg,9,3645,763,4141,1344,1.0,-1,SS_ochre,1.0
1,2024_10_08_10-08-11.jpg,10,3206,1624,3677,2035,1.0,-1,SS_ochre,1.0
2,2024_10_08_10-08-14.jpg,11,3025,2152,3475,2527,1.0,-1,SS_ochre,1.0
3,2024_10_08_10-08-17.jpg,12,3225,2582,3705,2982,1.0,-1,SS_ochre,1.0
4,2024_10_08_10-08-20.jpg,13,3517,3372,4043,3796,1.0,-1,SS_ochre,1.0
5,2024_10_08_10-08-41.jpg,20,322,1823,795,2219,1.0,-1,SS_ochre,1.0
6,2024_10_08_10-08-44.jpg,21,481,2472,935,2810,1.0,-1,SS_ochre,1.0
7,2024_10_08_10-08-47.jpg,22,326,2659,774,2971,1.0,-1,SS_ochre,1.0
8,2024_10_08_10-08-50.jpg,23,196,3405,487,3802,1.0,-1,SS_ochre,1.0
9,2024_10_08_10-08-38.jpg,19,169,1132,709,1536,1.0,-1,SS_ochre,1.0
10,2024_10_08_10-08-35.jpg,18,483,609,953,973,1.0,-1,SS_ochre,1.0
11,2024_10_08_10-09-11.jpg,30,-1,9,396,248,1.0,-1,SS_ochre,1.0
12,2024_10_08_10-09-11.jpg,30,1178,1007,1650,1476,1.0,-1,SS_ochre,1.0
13,2024_10_08_10-09-14.jpg,31,-3,1323,600,1882,1.0,-1,SS_ochre,1.0
14,2024_10_08_10-09-14.jpg,31,1395,2508,1857,2909,1.0,-1,SS_ochre,1.0
15,2024_10_08_10-09-17.jpg,32,-3,2608,487,2952,1.0,-1,SS_ochre,1.0
16,2024_10_08_10-09-17.jpg,32,1222,3773,1685,4034,1.0,-1,SS_ochre,1.0
17,2024_10_08_10-09-53.jpg,44,3184,83,3418,536,1.0,-1,fish_sculpin,1.0
18,2024_10_08_10-09-56.jpg,45,2109,3043,3098,3968,1.0,-1,CR_cancer,1.0
19,2024_10_08_10-09-59.jpg,46,662,2487,1516,3204,1.0,-1,CR_cancer,1.0
20,2024_10_08_10-10-14.jpg,51,456,523,662,949,1.0,-1,fish_sculpin,1.0
21,2024_10_08_10-10-17.jpg,52,708,1354,956,1790,1.0,-1,fish_sculpin,1.0
22,2024_10_08_10-10-20.jpg,53,1197,1965,1413,2347,1.0,-1,fish_sculpin,1.0
23,2024_10_08_10-10-23.jpg,54,1874,2283,2032,2667,1.0,-1,fish_sculpin,1.0
24,2024_10_08_10-10-26.jpg,55,1942,2423,2080,2782,1.0,-1,fish_sculpin,1.0
25,2024_10_08_10-10-29.jpg,56,1774,2665,1886,3001,1.0,-1,fish_sculpin,1.0
26,2024_10_08_10-10-32.jpg,57,1820,2765,1909,2984,1.0,-1,fish_sculpin,1.0
27,2024_10_08_10-10-35.jpg,58,2283,2958,2360,3151,1.0,-1,fish_sculpin,1.0
28,2024_10_08_10-10-44.jpg,61,2340,3602,2553,3833,1.0,-1,SS_ochre,1.0
30,2024_10_08_10-11-05.jpg,68,4316,2222,4608,2427,1.0,-1,CR_cancer,1.0
31,2024_10_08_10-11-23.jpg,74,2064,1328,2454,1442,1.0,-1,SS_ochre,1.0
32,2024_10_08_10-11-26.jpg,75,2168,2496,2516,2623,1.0,-1,SS_ochre,1.0
33,2024_10_08_10-11-44.jpg,81,72,963,514,1734,1.0,-1,CR_cancer,1.0
