"Date","season","site","transect","depth","Transect_ID","n_photos","ochre_mottled_star","burrowing_sea_cucumber","cancer_crab","green_white_urchin","kelp_crab","leather_star","plumose_anemone","california_sea_cucumber","blood_star","large_anemone","clam_siphon","scallop","brown_rockfish","creeping_pedal_sea_cucumber","flat_fish","gunnel_fish","helmet_crab","kelp_perch","lingcod","other_large_sculpin","painted_greenling","pile_perch","sharpnose_crab","shiner_perch","striped_seaperch"
2024-10-08,"summer","Centennial_Park",1,"deep","CNL_S24_T1",25,20,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0
2024-10-08,"summer","Centennial_Park",2,"deep","CNL_S24_T2",20,16,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0
2024-10-08,"summer","Centennial_Park",3,"deep","CNL_S24_T3",28,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-08,"summer","Centennial_Park",4,"shallow","CNL_S24_T4",27,28,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-10-08,"summer","Centennial_Park",5,"shallow","CNL_S24_T5",23,19,1,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-08,"summer","Centennial_Park",6,"shallow","CNL_S24_T6",19,10,0,2,0,5,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-09,"summer","Elliott_Bay_Marina",1,"deep","EBM_S24_T1",10,9,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2024-10-09,"summer","Elliott_Bay_Marina",2,"deep","EBM_S24_T2",11,8,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2024-10-09,"summer","Elliott_Bay_Marina",3,"deep","EBM_S24_T3",24,20,0,0,0,6,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3
2024-10-09,"summer","Elliott_Bay_Marina",4,"shallow","EBM_S24_T4",39,102,3,0,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0
2024-10-09,"summer","Elliott_Bay_Marina",5,"shallow","EBM_S24_T5",28,26,3,3,4,3,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
2024-10-09,"summer","Elliott_Bay_Marina",6,"shallow","EBM_S24_T6",25,9,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,2
2025-01-27,"winter","Centennial_Park",1,"deep","CNL_W25_T1",50,37,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,"winter","Centennial_Park",2,"deep","CNL_W25_T2",24,41,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,"winter","Centennial_Park",3,"deep","CNL_W25_T3",17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,"winter","Centennial_Park",4,"shallow","CNL_W25_T4",29,31,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,"winter","Centennial_Park",5,"shallow","CNL_W25_T5",34,55,1,2,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2025-01-27,"winter","Centennial_Park",6,"shallow","CNL_W25_T6",29,35,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-28,"winter","Elliott_Bay_Marina",1,"deep","EBM_W25_T1",32,17,7,1,0,0,1,15,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,2,2
2025-01-28,"winter","Elliott_Bay_Marina",2,"deep","EBM_W25_T2",38,34,16,0,0,4,0,4,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0
2025-01-28,"winter","Elliott_Bay_Marina",3,"deep","EBM_W25_T3",37,21,35,0,0,0,2,6,3,1,3,0,0,2,0,0,0,0,3,0,0,0,0,6,0,1
2025-01-28,"winter","Elliott_Bay_Marina",4,"shallow","EBM_W25_T4",44,65,12,2,11,3,4,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
2025-01-28,"winter","Elliott_Bay_Marina",5,"shallow","EBM_W25_T5",37,40,3,0,5,8,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2025-01-28,"winter","Elliott_Bay_Marina",6,"shallow","EBM_W25_T6",32,34,12,1,2,1,4,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
