"Source_file","Name","Date","season","pass","Time","site","transect","depth","Transect_ID","Battery_V","Battery_A","Battery_W","Battery_mAh_used","Battery_Wh_used","Latitude","Longitude","Altitude","ROV_depth_m","Area_m2","Distance","MDS1","MDS2","pebble","boulder","kelp_sieve","silt","green_algae_ulva","red_algae_branching","red_algae_cca","sand_fine_shell","kelp_sugar","red_algae_flat_leaf","unknown_area","red_algae_filamentous","cobble","brown_algae_filamentous","red_algae_bushy","brown_algae_sargassum","shell_hash","mobile_species","kelp_five_rib","anthropogenic","brown_algae_encrusting","kelp_stipe","kelp_holdfast","kelp_bryozoan","wood_debris","sessile_invertebrates","kelp_bull_blade","brown_algae_fucus","green_algae_filamentous","red_algae_encrusting"
"CNL_S24","2024_10_08_10-07-41.jpg",2024-10-08,"summer","out",10:07:41,"Centennial_Park",1,"deep","CNL_S24_T1",13.65264634,1.379146341,18.82694573,0,0,47.6190932,-122.3624258,1.017256055,-9.519999504,2.268969543,0,-1.33610522787378,-0.00812295433973798,0.4,0,0,0.14,0.06,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-07-50.jpg",2024-10-08,"summer","out",10:07:50,"Centennial_Park",1,"deep","CNL_S24_T1",13.66343558,1.242392638,16.9753362,5,0.055555556,47.6190908,-122.3624442,0.681165624,-9.880000114,1.016917746,0.095744932,-1.3936026636994,-0.0772689747831515,0.3,0,0,0.16,0.02,0,0,0.02,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-07-59.jpg",2024-10-08,"summer","out",10:07:59,"Centennial_Park",1,"deep","CNL_S24_T1",13.6576988,1.373373494,18.75632566,8,0.111111111,47.6190852,-122.362463,0.848493942,-9.729999542,1.577721463,0.111131033,-1.3444753367478,0.0815318743134479,0.42,0,0,0.06,0.02,0,0,0.02,0.44,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-08-08.jpg",2024-10-08,"summer","out",10:08:08,"Centennial_Park",1,"deep","CNL_S24_T1",13.61666061,2.417757576,32.9204963,15,0.194444444,47.6190864,-122.3624715,0.60987877,-9.800000191,0.815303696,0.053945339,-1.16147952146265,-0.096342042334536,0.34,0,0,0.22,0.08,0,0,0.06,0.24,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-08-17.jpg",2024-10-08,"summer","out",10:08:17,"Centennial_Park",1,"deep","CNL_S24_T1",13.63069753,1.702407407,23.19795809,19,0.25,47.6190916,-122.3624746,0.840061702,-9.609999657,1.546631248,0.101253924,-1.08198302217251,-0.11877695624957,0.32,0,0,0.14,0.06,0,0,0.02,0.34,0.02,0,0,0.06,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-08-26.jpg",2024-10-08,"summer","out",10:08:26,"Centennial_Park",1,"deep","CNL_S24_T1",13.66368098,1.304969325,17.83063828,22,0.305555556,47.6190912,-122.3624774,0.690981592,-9.739999771,1.046234577,0.089345971,-1.10055281295988,-0.0124019792711316,0.44,0,0,0.14,0.1,0,0,0.04,0.18,0,0,0,0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-08-35.jpg",2024-10-08,"summer","out",10:08:35,"Centennial_Park",1,"deep","CNL_S24_T1",13.62968323,1.865900621,25.43154441,26,0.361111111,47.6190914,-122.3624744,0.877701855,-9.590000153,1.688383889,0.068684108,-1.1950823916469,0.0750199635914571,0.48,0,0,0.12,0.06,0,0,0,0.28,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-08-44.jpg",2024-10-08,"summer","out",10:08:44,"Centennial_Park",1,"deep","CNL_S24_T1",13.64668098,1.299141104,17.72853411,29,0.416666667,47.619097,-122.3624682,0.769202436,-9.599999428,1.296877685,0.03170244,-1.26742510013491,0.356860918030085,0.64,0,0,0.12,0,0,0,0,0.16,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-08-53.jpg",2024-10-08,"summer","out",10:08:53,"Centennial_Park",1,"deep","CNL_S24_T1",13.61905521,1.846196319,25.14425117,34,0.472222222,47.6190957,-122.3624639,0.663006107,-9.819999695,0.96362915,0.051323958,-1.05923393489164,0.384382457649164,0.66,0,0,0.1,0.02,0.02,0,0.14,0,0,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNL_S24","2024_10_08_10-09-02.jpg",2024-10-08,"summer","out",10:09:02,"Centennial_Park",1,"deep","CNL_S24_T1",13.63342169,1.618373494,22.06396476,38,0.527777778,47.6191164,-122.3624521,0.748915664,-9.670000076,1.229026863,0.098533657,-1.08728323184378,0.444229904329577,0.76,0,0,0.06,0.04,0,0,0.06,0,0.02,0,0,0.02,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
