"site","transect","ochre_mottled_star","cancer_crab","fish_sculpin","california_sea_cucumber","kelp_crab","plumose_anemone","leather_star","scallop","sharpnose_crab","flat_fish","clam_siphon","lingcod","burrowing_sea_cucumber","large_anemone","striped_seaperch","blood_star","painted_greenling","helmet_crab","brown_rockfish","pile_perch","green_white_urchin","kelp_perch","unknown","shiner_perch","bat_star","blue_striped_star","dawson_star","dungeness_crab","giant_pacific_octopus","giant_spined_star","green_crab","gumboot_chiton","hairy_triton","kelp_crab_juv","pinto_abalone","purple_urchin","rainbow_star","red_urchin","short_spined_star","slender_crab","sunflower_star"
"Centennial_Park","1",17,2,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial_Park","2",16,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial_Park","3",25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial_Park","4",35,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial_Park","5",22,4,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial_Park","6",13,1,0,0,4,1,2,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott_Bay_Marina","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott_Bay_Marina","2",3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott_Bay_Marina","3",20,0,0,1,6,0,0,0,0,0,0,0,1,0,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott_Bay_Marina","4",164,0,1,0,5,0,9,0,8,0,0,0,2,0,0,0,0,0,0,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott_Bay_Marina","5",27,4,1,4,4,0,13,0,4,0,0,0,5,2,2,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott_Bay_Marina","6",17,0,0,0,3,0,7,0,0,0,0,1,13,1,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
