"site","transect","season","depth","n_photos","blood_star","brown_rockfish","burrowing_sea_cucumber","california_sea_cucumber","cancer_crab","clam_siphon","creeping_pedal_sea_cucumber","flat_fish","green_white_urchin","gunnel_fish","helmet_crab","kelp_crab","kelp_perch","large_anemone","leather_star","lingcod","ochre_mottled_star","other_large_sculpin","painted_greenling","pile_perch","plumose_anemone","sharpnose_crab","shiner_perch","striped_seaperch"
"Centennial_Park",1,"summer","deep",62,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,20,4,0,0,1,1,0,0
"Centennial_Park",1,"winter","deep",62,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
"Centennial_Park",2,"summer","deep",64,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0
"Centennial_Park",2,"winter","deep",60,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
"Centennial_Park",3,"summer","deep",56,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
"Centennial_Park",3,"winter","deep",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"Centennial_Park",4,"summer","shallow",50,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,28,1,0,0,1,0,0,0
"Centennial_Park",4,"winter","shallow",67,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
"Centennial_Park",5,"summer","shallow",63,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,19,0,0,0,3,0,0,0
"Centennial_Park",5,"winter","shallow",66,0,0,1,0,2,3,0,1,0,0,0,0,0,1,0,0,55,0,0,0,1,0,0,0
"Centennial_Park",6,"summer","shallow",62,0,0,0,0,2,2,0,0,0,0,0,5,0,2,1,0,10,0,0,0,1,0,0,0
"Centennial_Park",6,"winter","shallow",64,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
"Elliott_Bay_Marina",1,"summer","deep",28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,2,1,0,0
"Elliott_Bay_Marina",1,"winter","deep",60,0,0,7,6,1,0,0,0,0,0,0,0,8,0,1,0,17,0,0,0,15,7,2,2
"Elliott_Bay_Marina",2,"summer","deep",28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,4,1,0,1
"Elliott_Bay_Marina",2,"winter","deep",60,2,0,16,1,0,0,0,0,0,0,0,4,5,0,0,0,34,0,0,0,4,7,0,0
"Elliott_Bay_Marina",3,"summer","deep",48,1,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0,20,0,2,0,1,0,0,3
"Elliott_Bay_Marina",3,"winter","deep",58,1,2,35,3,0,0,0,0,0,0,0,0,3,3,2,0,21,0,0,0,6,6,0,1
"Elliott_Bay_Marina",4,"summer","shallow",47,0,0,3,0,0,0,0,0,13,0,0,4,0,0,9,0,102,0,0,2,0,8,0,0
"Elliott_Bay_Marina",4,"winter","shallow",58,3,0,12,4,2,0,0,0,11,0,0,3,0,0,4,0,65,2,0,0,0,3,0,0
"Elliott_Bay_Marina",5,"summer","shallow",48,0,0,3,4,3,0,0,0,4,0,0,3,0,0,12,0,26,0,0,3,0,3,0,1
"Elliott_Bay_Marina",5,"winter","shallow",56,0,0,3,2,0,0,0,0,5,0,0,8,0,0,5,0,40,0,0,0,1,4,0,0
"Elliott_Bay_Marina",6,"summer","shallow",50,0,0,13,0,0,0,0,0,0,0,0,0,1,0,8,1,9,0,0,2,0,1,0,2
"Elliott_Bay_Marina",6,"winter","shallow",58,0,0,12,2,1,0,0,0,2,1,0,1,1,0,4,0,34,1,0,0,2,1,0,0
