"site","transect","transect_id","key","season","depth","type","n_photos","ochre_mottled_star","cancer_crab","burrowing_sea_cucumber","kelp_crab","leather_star","plumose_anemone","green_white_urchin","california_sea_cucumber","blood_star","large_anemone"
"Centennial_Park",1,"1 Centennial_Park","CP_1_summer","summer","deep","diver",NA,10,1,0,1,0,1,0,0,0,0
"Centennial_Park",2,"2 Centennial_Park","CP_2_summer","summer","deep","diver",NA,14,2,0,0,0,0,0,0,0,1
"Centennial_Park",3,"3 Centennial_Park","CP_3_summer","summer","deep","diver",NA,18,1,0,1,0,0,0,0,0,0
"Centennial_Park",4,"4 Centennial_Park","CP_4_summer","summer","shallow","diver",NA,13,3,0,1,0,0,0,0,0,0
"Centennial_Park",5,"5 Centennial_Park","CP_5_summer","summer","shallow","diver",NA,19,2,0,1,0,2,0,0,0,0
"Centennial_Park",6,"6 Centennial_Park","CP_6_summer","summer","shallow","diver",NA,23,1,0,0,0,0,0,0,0,0
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_summer","summer","deep","diver",NA,10,2,3,2,1,3,0,1,3,0
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_summer","summer","deep","diver",NA,33,2,2,1,0,12,0,0,1,0
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_summer","summer","deep","diver",NA,27,1,1,2,0,4,0,0,1,0
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_summer","summer","shallow","diver",NA,52,0,0,2,6,0,33,0,0,0
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_summer","summer","shallow","diver",NA,41,1,1,1,1,0,0,1,0,0
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_summer","summer","shallow","diver",NA,5,0,6,2,4,0,9,0,1,0
"Centennial_Park",1,"1 Centennial_Park","CP_1_winter","winter","deep","diver",NA,34,62,0,0,0,0,0,0,0,0
"Centennial_Park",2,"2 Centennial_Park","CP_2_winter","winter","deep","diver",NA,40,0,0,0,0,0,0,0,0,0
"Centennial_Park",3,"3 Centennial_Park","CP_3_winter","winter","deep","diver",NA,24,0,0,0,0,0,0,0,0,0
"Centennial_Park",4,"4 Centennial_Park","CP_4_winter","winter","shallow","diver",NA,27,1,0,0,0,0,0,0,0,0
"Centennial_Park",5,"5 Centennial_Park","CP_5_winter","winter","shallow","diver",NA,40,1,0,1,0,0,0,0,0,1
"Centennial_Park",6,"6 Centennial_Park","CP_6_winter","winter","shallow","diver",NA,21,0,0,0,0,0,0,0,1,0
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_winter","winter","deep","diver",NA,16,1,9,0,0,3,0,4,0,0
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_winter","winter","deep","diver",NA,12,0,17,0,1,4,0,3,2,0
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_winter","winter","deep","diver",NA,17,0,49,4,1,8,0,1,1,1
