"site","transect","transect_id","key","season","depth","type","n","cover_red_algae","combined_green_algae","cover_crustose_coralline","combined_substrate_boulder","substrate_rock_.15.25cm.wa.","combined_substrate_pebble","substrate_sand","substrate_shell_hash"
"Centennial_Park",1,"1 Centennial_Park","CP_1_summer","summer","deep","diver",30,0.133,0.1603,0,0,0.1,0.767,0.067,0.067
"Centennial_Park",2,"2 Centennial_Park","CP_2_summer","summer","deep","diver",30,0.1,0.1,0,0,0,0.7,0.3,0
"Centennial_Park",3,"3 Centennial_Park","CP_3_summer","summer","deep","diver",30,0.2,0.033,0,0,0,0.8,0.2,0
"Centennial_Park",4,"4 Centennial_Park","CP_4_summer","summer","shallow","diver",30,0.067,0.44,0,0,0,0.8,0.2,0
"Centennial_Park",5,"5 Centennial_Park","CP_5_summer","summer","shallow","diver",30,0.367,0.28,0,0,0.2,0.5,0.3,0
"Centennial_Park",6,"6 Centennial_Park","CP_6_summer","summer","shallow","diver",30,0.367,0.222811,0,0,0.3,0.333,0.2,0.067
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_summer","summer","deep","diver",30,0.133,0,0.267,0.967,0,0,0,0
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_summer","summer","deep","diver",30,0.2,0,0.2,0.9,0,0,0,0.033
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_summer","summer","deep","diver",30,0.233,0.033,0.233,0.767,0,0,0,0
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_summer","summer","shallow","diver",30,0.3,0.0669999999999999,0.133,1,0,0,0,0
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_summer","summer","shallow","diver",30,0.233,0.0669999999999999,0.267,0.866,0,0,0,0.067
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_summer","summer","shallow","diver",30,0.267,0.133,0.3,1,0,0,0,0
"Centennial_Park",1,"1 Centennial_Park","CP_1_winter","winter","deep","diver",30,0,0,0,0,0,0.633,0.367,0
"Centennial_Park",2,"2 Centennial_Park","CP_2_winter","winter","deep","diver",30,0.033,0,0,0,0,0.567,0.167,0.267
"Centennial_Park",3,"3 Centennial_Park","CP_3_winter","winter","deep","diver",30,0,0,0,0,0,0.6,0,0.4
"Centennial_Park",4,"4 Centennial_Park","CP_4_winter","winter","shallow","diver",30,0,0,0.033,0,0,0.467,0.367,0.167
"Centennial_Park",5,"5 Centennial_Park","CP_5_winter","winter","shallow","diver",30,0,0.033,0,0,0,0.4,0.467,0.133
"Centennial_Park",6,"6 Centennial_Park","CP_6_winter","winter","shallow","diver",30,0.133,0.0669999999999999,0,0,0.067,0.367,0.167,0.4
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_winter","winter","deep","diver",30,0.033,0,0.2,0.5,0.067,0.067,0,0.133
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_winter","winter","deep","diver",30,0.1,0,0.233,0.634,0.067,0.033,0,0.133
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_winter","winter","deep","diver",30,0.1,0,0.2,0.367,0.167,0.066,0,0.167
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_winter","winter","shallow","diver",30,0.233,0,0.233,1,0,0,0,0
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_winter","winter","shallow","diver",30,0.2,0,0.467,0.9,0,0.033,0,0.067
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_winter","winter","shallow","diver",30,0.333,0,0.2,0.933,0,0,0,0.067
"Centennial_Park",1,"1 Centennial_Park","CP_1_summer","summer","deep","ROV",3499,0.069,0.095,0,0.012,0.05,0.383,0.011,0.004
"Centennial_Park",1,"1 Centennial_Park","CP_1_winter","winter","deep","ROV",3100,0.042,0.008,0,0.014,0.064,0.606,0.007,0.005
"Centennial_Park",2,"2 Centennial_Park","CP_2_summer","summer","deep","ROV",3600,0.027,0.044,0,0.01,0.03,0.399,0.021,0.003
"Centennial_Park",2,"2 Centennial_Park","CP_2_winter","winter","deep","ROV",3000,0.007,0.005,0,0.004,0.033,0.583,0.032,0.004
"Centennial_Park",3,"3 Centennial_Park","CP_3_summer","summer","deep","ROV",2400,0.035,0.105,0,0.013,0.045,0.643,0.008,0.002
"Centennial_Park",3,"3 Centennial_Park","CP_3_winter","winter","deep","ROV",3000,0.007,0.002,0,0.005,0.039,0.751,0.013,0.008
"Centennial_Park",4,"4 Centennial_Park","CP_4_summer","summer","shallow","ROV",3042,0.083,0.418,0,0.023,0.052,0.127,0.028,0
"Centennial_Park",4,"4 Centennial_Park","CP_4_winter","winter","shallow","ROV",3200,0.035,0.02,0.001,0.03,0.056,0.394,0.205,0.002
"Centennial_Park",5,"5 Centennial_Park","CP_5_summer","summer","shallow","ROV",3750,0.239,0.454,0,0.027,0.04,0.046,0.017,0.001
"Centennial_Park",5,"5 Centennial_Park","CP_5_winter","winter","shallow","ROV",3300,0.077,0.021,0,0.053,0.081,0.193,0.04,0.005
"Centennial_Park",6,"6 Centennial_Park","CP_6_summer","summer","shallow","ROV",3600,0.24,0.334,0,0.023,0.026,0.084,0.107,0.001
"Centennial_Park",6,"6 Centennial_Park","CP_6_winter","winter","shallow","ROV",3150,0.12,0.025,0,0.019,0.056,0.245,0.266,0.001
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_summer","summer","deep","ROV",1900,0.063,0,0.044,0.174,0.015,0.003,0,0
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_winter","winter","deep","ROV",3000,0.054,0,0.071,0.326,0.013,0.021,0.045,0.001
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_summer","summer","deep","ROV",1850,0.065,0,0.027,0.182,0.001,0.001,0.011,0.002
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_winter","winter","deep","ROV",3000,0.057,0,0.06,0.421,0.008,0.002,0.023,0.004
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_summer","summer","deep","ROV",3150,0.15,0.003,0.036,0.156,0.007,0.001,0.003,0.003
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_winter","winter","deep","ROV",2900,0.193,0,0.105,0.286,0.024,0.007,0.013,0.016
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_summer","summer","shallow","ROV",3000,0.219,0.081,0.074,0.361,0.006,0.001,0.003,0
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_winter","winter","shallow","ROV",2900,0.3,0,0.103,0.48,0.003,0.002,0.019,0
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_summer","summer","shallow","ROV",2800,0.145,0.05,0.15,0.411,0,0,0.036,0
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_winter","winter","shallow","ROV",2800,0.25,0,0.084,0.524,0.002,0,0.026,0.001
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_summer","summer","shallow","ROV",2950,0.233,0.165,0.155,0.357,0.004,0.001,0.001,0
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_winter","winter","shallow","ROV",2900,0.267,0,0.196,0.281,0.007,0,0.03,0.036
