"taxon","model","converged","note","estimate_lograte","se","z_value","p_value","rate_ratio_ROV_vs_diver"
"ochre_mottled_star","nb_glmm",TRUE,NA,0.161641784128571,0.120691281064058,1.33929959731539,0.180473159794351,1.17543910495335
"cancer_crab","nb_no_random_effect_excl_CP_1_winter",FALSE,"iteration limit reached; iteration limit reached",0.336472249618514,0.292780958533977,1.14922859499918,0.250461732746979,1.40000001819622
"burrowing_sea_cucumber","nb_no_random_effect",TRUE,NA,0.200983580789057,0.396516922029477,0.506872644325923,0.612244180985815,1.2226046974541
"kelp_crab","nb_glmm",TRUE,NA,0.163771191910479,0.373560495985932,0.438406077918492,0.661091941313459,1.1779447609655
"leather_star","nb_glmm",TRUE,NA,0.158269525392167,0.265975328700916,0.595053406514024,0.551807772330735,1.17148189627847
"plumose_anemone","nb_glmm",TRUE,NA,0.146016206540432,0.348220298312009,0.41932135274205,0.674981293342543,1.15721494234958
"green_white_urchin","nb_no_random_effect",FALSE,"glm.fit: fitted rates numerically 0 occurred",0.311014432478951,0.758652950306363,0.409956136535627,0.681838124462735,1.36480891862001
"california_sea_cucumber","nb_glmm",TRUE,NA,0.340259619796462,0.321916357521345,1.05698145448822,0.290520051431827,1.40531239012364
"blood_star","nb_no_random_effect",FALSE,"iteration limit reached; iteration limit reached",-0.287707706277666,0.441058035119855,-0.652312583307735,0.514199544128957,0.749980774876994
"large_anemone","nb_glmm",TRUE,NA,0.117422324771065,0.756240777457194,0.155271083325987,0.8766076112762,1.12459427343341
