"variable","display_name","n","diver_mean","rov_mean","r","r_lower","r_upper","r_p","rho","rho_p","mean_abs_dz","max_abs_dz","r_within_site","r_within_site_p","note"
"ochre_mottled_star","Ochre/mottled star",24,24.9583333333333,30.625,0.704959096506866,0.421399094239007,0.862951289181302,0.000119777671369403,0.542365510579033,0.00618032458151606,0.588940027333994,1.6815905109723,0.702695219206759,0.000184822633874878,NA
"cancer_crab","Rock crab",24,3.41666666666667,6.58333333333333,0.997498396747058,0.994125386947542,0.998935768711742,8.17609271775916e-27,0.373712999540857,0.0720343822435743,0.0526191194329331,0.140874918167606,0.997398823169985,1.78179924574007e-25,NA
"burrowing_sea_cucumber","Burrowing sea cucumber",24,4.58333333333333,4.41666666666667,0.957602499077384,0.90304725070686,0.981753874668819,2.25267436801659e-13,0.731157755681177,4.93559614149281e-05,0.208700044577621,0.911597690346247,0.950294019805628,4.11282163590027e-12,NA
"kelp_crab","Kelp crab",24,1.75,1.83333333333333,0.228724045054405,-0.192427259701321,0.578723909470423,0.28236181749413,0.348676998074127,0.0949489989215553,0.845458814648551,3.87237055062631,0.0986816391274003,0.654178739050147,NA
"leather_star","Leather star",24,1.66666666666667,1.91666666666667,0.543750727870757,0.179790590539012,0.776765957437443,0.00602466539491258,0.765217461481308,1.32456579248822e-05,0.476448242817715,3.18737717960014,0.351239836960037,0.100301049649412,NA
"plumose_anemone","Plumose anemone",24,1.66666666666667,1.75,0.49295478318214,0.111787782421562,0.7476721478906,0.0143840012625974,0.84133945217455,2.60170955596388e-07,0.451876179452909,3.63435450566855,0.387296649156298,0.0678742376985698,NA
"green_white_urchin","Green/pallid urchin",24,1.875,1.45833333333333,0.690701023522325,0.398274017347823,0.855682027470907,0.000186771637331661,0.647652245036829,0.000622720453768478,0.437878426871614,2.84263647475262,0.658410826703348,0.000636279891722335,NA
"california_sea_cucumber","California sea cucumber",24,0.75,1.04166666666667,0.704864092772869,0.421243778178133,0.86290306843868,0.000120142844499772,0.807445004659466,1.85049804524988e-06,0.412604693621746,1.89571357508749,0.543471600728386,0.00735704095481865,NA
"blood_star","Blood star",24,0.5,0.375,0.398226737840798,-0.00615944599450435,0.690671637938606,0.0539371885163707,0.559840126272663,0.00444417802574361,0.575390078200755,4.05142425922413,0.242054571952175,0.265809121926542,NA
"large_anemone","Large anemone",24,0.25,0.25,0.277350098112615,-0.141925541716281,0.612247285433146,0.189480837969683,0.397912171351719,0.0541445278920313,0.62702662875064,3.63100630009712,0.280975743474508,0.194041414752928,NA
