"dataset","variable","display_name","key","site","season","depth","transect","diver_value","rov_value","z_diver","z_rov","dz"
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_1_summer","Centennial_Park","summer","deep",1,0.133,0.069,-0.201305188844297,-0.584955633456134,0.383650444611837
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_2_summer","Centennial_Park","summer","deep",2,0.1,0.027,-0.47954901007411,-1.03131087836437,0.551761868290263
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_3_summer","Centennial_Park","summer","deep",3,0.2,0.035,0.363614084561688,-0.946290831715184,1.30990491627687
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_4_summer","Centennial_Park","summer","shallow",4,0.067,0.083,-0.757792831303923,-0.436170551820054,-0.321622279483869
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_5_summer","Centennial_Park","summer","shallow",5,0.367,0.239,1.77169645260347,1.22172035783912,0.549976094764352
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_6_summer","Centennial_Park","summer","shallow",6,0.367,0.24,1.77169645260347,1.23234786367027,0.539348588933203
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_1_winter","Centennial_Park","winter","deep",1,0,0.042,-1.32271210470991,-0.871898290897144,-0.450813813812763
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_2_winter","Centennial_Park","winter","deep",2,0.033,0.007,-1.04446828348009,-1.24386099498734,0.199392711507249
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_3_winter","Centennial_Park","winter","deep",3,0,0.007,-1.32271210470991,-1.24386099498734,-0.0788511097225637
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_4_winter","Centennial_Park","winter","shallow",4,0,0.035,-1.32271210470991,-0.946290831715184,-0.376421272994723
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_5_winter","Centennial_Park","winter","shallow",5,0,0.077,-1.32271210470991,-0.499935586806946,-0.822776517902961
"percent-cover, all seasons","cover_red_algae","Red algae cover","CP_6_winter","Centennial_Park","winter","shallow",6,0.133,0.12,-0.201305188844297,-0.0429528360675587,-0.158352352776738
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_1_summer","Elliott_Bay_Marina","summer","deep",1,0.133,0.063,-0.201305188844297,-0.648720668443025,0.447415479598729
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_2_summer","Elliott_Bay_Marina","summer","deep",2,0.2,0.065,0.363614084561688,-0.627465656780728,0.991079741342416
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_3_summer","Elliott_Bay_Marina","summer","deep",3,0.233,0.15,0.641857905791501,0.275872338866897,0.365985566924603
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_4_summer","Elliott_Bay_Marina","summer","shallow",4,0.3,0.219,1.20677717919748,1.00917024121615,0.197606937981338
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_5_summer","Elliott_Bay_Marina","summer","shallow",5,0.233,0.145,0.641857905791501,0.222734809711155,0.419123096080346
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_6_summer","Elliott_Bay_Marina","summer","shallow",6,0.267,0.233,0.928533357967672,1.15795532285223,-0.229421964884555
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_1_winter","Elliott_Bay_Marina","winter","deep",1,0.033,0.054,-1.04446828348009,-0.744368220923362,-0.300100062556732
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_2_winter","Elliott_Bay_Marina","winter","deep",2,0.1,0.057,-0.47954901007411,-0.712485703429917,0.232936693355807
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_3_winter","Elliott_Bay_Marina","winter","deep",3,0.1,0.193,-0.47954901007411,0.732855089606285,-1.21240409968039
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_4_winter","Elliott_Bay_Marina","winter","shallow",4,0.233,0.3,0.641857905791501,1.86999821353918,-1.22814030774768
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_5_winter","Elliott_Bay_Marina","winter","shallow",5,0.2,0.25,0.363614084561688,1.33862292198175,-0.975008837420064
"percent-cover, all seasons","cover_red_algae","Red algae cover","EBM_6_winter","Elliott_Bay_Marina","winter","shallow",6,0.333,0.267,1.4850210004273,1.51929052111128,-0.0342695206839785
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_1_summer","Centennial_Park","summer","deep",1,0.1603,0.095,0.834647529513907,0.139974441999431,0.694673087514476
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_2_summer","Centennial_Park","summer","deep",2,0.1,0.044,0.288354772997762,-0.240756040239022,0.529110813236784
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_3_summer","Centennial_Park","summer","deep",3,0.033,0.105,-0.318637178686843,0.214627477732461,-0.533264656419304
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_4_summer","Centennial_Park","summer","shallow",4,0.44,0.418,3.36861243826292,2.5512674961763,0.817344942086624
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_5_summer","Centennial_Park","summer","shallow",5,0.28,0.454,1.91907941931461,2.82001842481521,-0.900939005500595
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_6_summer","Centennial_Park","summer","shallow",6,0.222811,0.334,1.40097102043564,1.92418199601885,-0.523210975583205
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_1_winter","Centennial_Park","winter","deep",1,0,0.008,-0.617603363844932,-0.50950696887793,-0.108096394967003
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_2_winter","Centennial_Park","winter","deep",2,0,0.005,-0.617603363844932,-0.531902879597839,-0.0857004842470936
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_3_winter","Centennial_Park","winter","deep",3,0,0.002,-0.617603363844932,-0.554298790317748,-0.0633045735271847
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_4_winter","Centennial_Park","winter","shallow",4,0,0.02,-0.617603363844932,-0.419923325998294,-0.197680037846639
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_5_winter","Centennial_Park","winter","shallow",5,0.033,0.021,-0.318637178686843,-0.412458022424991,0.0938208437381475
"percent-cover, all seasons","combined_green_algae","Green algae cover","CP_6_winter","Centennial_Park","winter","shallow",6,0.0669999999999999,0.025,-0.0106114121603279,-0.382596808131779,0.371985395971451
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_1_summer","Elliott_Bay_Marina","summer","deep",1,0,0,-0.617603363844932,-0.569229397464354,-0.0483739663805787
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_2_summer","Elliott_Bay_Marina","summer","deep",2,0,0,-0.617603363844932,-0.569229397464354,-0.0483739663805787
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_3_summer","Elliott_Bay_Marina","summer","deep",3,0.033,0.003,-0.318637178686843,-0.546833486744445,0.228196308057601
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_4_summer","Elliott_Bay_Marina","summer","shallow",4,0.0669999999999999,0.081,-0.0106114121603279,0.0354601919731893,-0.0460716041335172
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_5_summer","Elliott_Bay_Marina","summer","shallow",5,0.0669999999999999,0.05,-0.0106114121603279,-0.195964218799204,0.185352806638876
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_6_summer","Elliott_Bay_Marina","summer","shallow",6,0.133,0.165,0.587320958155851,0.662545692130641,-0.0752247339747899
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_1_winter","Elliott_Bay_Marina","winter","deep",1,0,0,-0.617603363844932,-0.569229397464354,-0.0483739663805787
"percent-cover, all seasons","combined_green_algae","Green algae cover","EBM_2_winter","Elliott_Bay_Marina","winter","deep",2,0,0,-0.617603363844932,-0.569229397464354,-0.0483739663805787
