"site","transect","3-Ribbed Kelp","kelp_five_rib","Acid Weed","Broad-ribbed kelp","Bull Kelp","Feather Boa Kelp","Giant Kelp","kelp_sieve","kelp_sugar","Torn Kelp","Winged Kelp","brown_algae_sargassum","Woody Kelp"
"Elliott_Bay_Marina",1,0,1,0,0,3,0,0,113.3,0,0,0,0,0
"Elliott_Bay_Marina",2,0,2,0,0,1,0,0,277.8,0,0,0,0,0
"Elliott_Bay_Marina",3,0,3,0,0,4,0,0,116.3,0,0,0,0,0
"Elliott_Bay_Marina",4,0,2,0,0,0,0,0,7,0,0,0,126.2,0
"Elliott_Bay_Marina",5,0,1,0,0,14,0,0,25,0,0,0,10,0
"Elliott_Bay_Marina",6,0,0,0,0,14,0,0,0,0,0,0,0,0
"Centennial_Park",1,0,2,0,0,0,0,0,0,50,0,0,0,0
"Centennial_Park",2,0,1,0,0,0,0,0,0,16,0,0,0,0
"Centennial_Park",3,0,0,0,0,0,0,0,1,30,0,0,6,0
"Centennial_Park",4,0,2,0,0,0,0,0,0,25,0,0,4,0
"Centennial_Park",5,0,2,0,0,1,0,0,0,9,0,0,7,0
"Centennial_Park",6,0,1,0,0,0,0,0,0,25,0,0,0,0
