"site","transect","3-Ribbed Kelp","kelp_five_rib","Acid Weed","Broad-ribbed kelp","Bull Kelp","Feather Boa Kelp","Giant Kelp","kelp_sieve","kelp_sugar","Torn Kelp","Winged Kelp","brown_algae_sargassum","Woody Kelp"
"Centennial_Park",1,0,0,0,0,0,0,0,0,0.06,0,0,0,0
"Centennial_Park",2,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"Centennial_Park",3,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0
"Centennial_Park",4,0,0,0,0,0,0,0,0,0.03,0,0,0,0
"Centennial_Park",5,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0
"Centennial_Park",6,0,0,0,0,0,0,0,0,0.03,0,0,0,0
"Elliott_Bay_Marina",1,0,0,0,0,0,0,0,0.13,0,0,0,0,0
"Elliott_Bay_Marina",2,0,0,0,0,0,0,0,0.31,0,0,0,0,0
"Elliott_Bay_Marina",3,0,0,0,0,0,0,0,0.13,0,0,0,0,0
"Elliott_Bay_Marina",4,0,0,0,0,0,0,0,0.01,0,0,0,0.14,0
"Elliott_Bay_Marina",5,0,0,0,0,0.02,0,0,0.03,0,0,0,0.01,0
"Elliott_Bay_Marina",6,0,0,0,0,0.02,0,0,0,0,0,0,0,0
