"Date","season","site","transect","depth","ochre_mottled_star","burrowing_sea_cucumber","cancer_crab","green_white_urchin","kelp_crab","leather_star","plumose_anemone","california_sea_cucumber","blood_star","kelp_crab_juv","large_anemone","gumboot_chiton","dungeness_crab","bat_star","blue_striped_sun_star","dawson_sun_star","giant_pacific_octopus","giant_spined_star","green_crab","hairy_triton","clam_siphon","pinto_abalone","purple_urchin","rainbow_star","red_urchin","scallop","short_spined_star","slender_crab","sunflower_star"
"2024-10-08","summer","Centennial_Park",1,"deep",10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",2,"deep",14,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",3,"deep",18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",4,"shallow",13,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",5,"shallow",19,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",6,"shallow",23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",1,"deep",10,3,2,0,2,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",2,"deep",33,2,2,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",3,"deep",27,1,1,0,2,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",4,"shallow",52,0,0,33,2,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",5,"shallow",41,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",6,"shallow",5,6,0,9,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",1,"deep",34,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",2,"deep",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",3,"deep",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",4,"shallow",27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",5,"shallow",40,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",6,"shallow",21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",1,"deep",16,9,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",2,"deep",12,17,0,0,0,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",3,"deep",17,49,0,0,4,1,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",4,"shallow",57,9,0,1,6,12,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",5,"shallow",16,1,0,2,6,7,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",6,"shallow",30,12,1,0,11,7,3,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
