"Date","season","site","transect","depth","ochre_mottled_star","burrowing_sea_cucumber","cancer_crab","green_white_urchin","kelp_crab","leather_star","plumose_anemone","california_sea_cucumber","blood_star","kelp_crab_juv","large_anemone","gumboot_chiton","dungeness_crab","bat_star","blue_striped_sun_star","dawson_sun_star","giant_pacific_octopus","giant_spined_star","green_crab","hairy_triton","clam_siphon","pinto_abalone","purple_urchin","rainbow_star","red_urchin","scallop","short_spined_star","slender_crab","sunflower_star"
"2024-10-08","summer","Centennial_Park",1,"deep",0.17,0,0.02,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",2,"deep",0.23,0,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",3,"deep",0.3,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",4,"shallow",0.22,0,0.05,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",5,"shallow",0.32,0,0.03,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08","summer","Centennial_Park",6,"shallow",0.38,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",1,"deep",0.17,0.05,0.03,0,0.03,0.02,0.05,0.02,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",2,"deep",0.55,0.03,0.03,0,0.02,0,0.2,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",3,"deep",0.45,0.02,0.02,0,0.03,0,0.07,0,0.02,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",4,"shallow",0.87,0,0,0.55,0.03,0.1,0,0,0,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",5,"shallow",0.68,0.02,0.02,0,0.02,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-09","summer","Elliott_Bay_Marina",6,"shallow",0.08,0.1,0,0.15,0.03,0.07,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",1,"deep",0.57,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",2,"deep",0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",3,"deep",0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",4,"shallow",0.45,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",5,"shallow",0.67,0,0.02,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-27","winter","Centennial_Park",6,"shallow",0.35,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",1,"deep",0.27,0.15,0.02,0,0,0,0.05,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",2,"deep",0.2,0.28,0,0,0,0.02,0.07,0.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",3,"deep",0.28,0.82,0,0,0.07,0.02,0.13,0.02,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",4,"shallow",0.95,0.15,0,0.02,0.1,0.2,0,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",5,"shallow",0.27,0.02,0,0.03,0.1,0.12,0,0.02,0.02,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-01-28","winter","Elliott_Bay_Marina",6,"shallow",0.5,0.2,0.02,0,0.18,0.12,0.05,0.07,0.02,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
