label,total_annotations,number_accurate,number_incorrect,percent_accuracy,avg_confidence_correct,std_error_correct,avg_confidence_incorrect,std_error_incorrect
BR_filam,45,0,45,0.0,NULL,NULL,0.75,0.03
BR_sarg,64,38,26,59.38,0.91,0.02,0.67,0.04
GR_fil,2,0,2,0.0,NULL,NULL,0.78,0.22
GR_ulva,1293,1218,75,94.2,0.98,0.0,0.76,0.02
KE_5rib,35,14,21,40.0,0.97,0.02,0.83,0.04
KE_sieve,8,2,6,25.0,0.79,0.13,0.72,0.1
KE_stipe,2,2,0,100.0,0.82,0.18,NULL,NULL
KE_sugar,420,192,228,45.71,0.88,0.01,0.76,0.01
MS,10,7,3,70.0,0.95,0.05,0.76,0.12
RE_branch,17,9,8,52.94,0.92,0.04,0.72,0.07
RE_bush,48,39,9,81.25,0.94,0.02,0.75,0.06
RE_fil,42,32,10,76.19,0.95,0.02,0.81,0.06
RE_leaf,136,84,52,61.76,0.95,0.01,0.82,0.03
SI_kelpBry,3,3,0,100.0,0.91,0.08,NULL,NULL
SU_anth,1,0,1,0.0,NULL,NULL,0.97,NULL
SU_bould,74,12,62,16.22,0.71,0.06,0.79,0.02
SU_cob,157,45,112,28.66,0.79,0.03,0.79,0.02
SU_peb,357,174,183,48.74,0.86,0.01,0.8,0.01
SU_sand,46,18,28,39.13,0.88,0.04,0.77,0.04
SU_shell,6,1,5,16.67,1.0,NULL,0.96,0.02
SU_silt,256,189,67,73.83,0.93,0.01,0.74,0.03
unknown,28,1,27,3.57,0.74,NULL,0.78,0.04
