label,total_annotations,number_accurate,number_incorrect,percent_accuracy,avg_confidence_correct,std_error_correct,avg_confidence_incorrect,std_error_incorrect
BR_encrust,4,0,4,0.0,NULL,NULL,0.81,0.19
BR_filam,185,0,185,0.0,NULL,NULL,0.73,0.02
BR_fucus,7,5,2,71.43,0.91,0.04,0.3,NULL
BR_sarg,330,163,167,49.39,0.93,0.01,0.63,0.02
GR_fil,8,0,8,0.0,NULL,NULL,0.8,0.08
GR_ulva,6096,5453,643,89.45,0.97,0.0,0.7,0.01
KE_5rib,170,74,96,43.53,0.94,0.02,0.83,0.02
KE_bull,3,1,2,33.33,0.96,NULL,0.9,0.09
KE_holdfas,23,13,10,56.52,0.9,0.05,0.58,0.1
KE_sieve,2647,1588,1059,59.99,0.86,0.01,0.53,0.01
KE_stipe,74,46,28,62.16,0.89,0.03,0.56,0.07
KE_sugar,2579,1577,1002,61.15,0.93,0.0,0.76,0.01
MS,108,67,41,62.04,0.89,0.03,0.63,0.05
RE_CCA,557,465,92,83.48,0.92,0.01,0.49,0.04
RE_branch,1011,507,504,50.15,0.91,0.01,0.64,0.01
RE_bush,484,373,111,77.07,0.94,0.01,0.73,0.02
RE_fil,546,355,191,65.02,0.93,0.01,0.66,0.02
RE_leaf,1200,677,523,56.42,0.94,0.01,0.68,0.01
Review,9,0,9,0.0,NULL,NULL,0.31,0.03
SI,1,1,0,100.0,0.54,NULL,NULL,NULL
SI_kelpBry,23,17,6,73.91,0.94,0.02,0.74,0.14
SU_anth,57,0,57,0.0,NULL,NULL,0.59,0.05
SU_bould,2178,716,1462,32.87,0.73,0.01,0.52,0.01
SU_cob,863,301,562,34.88,0.83,0.01,0.77,0.01
SU_peb,3940,2632,1308,66.8,0.93,0.0,0.79,0.01
SU_sand,741,396,345,53.44,0.93,0.01,0.64,0.02
SU_shell,56,21,35,37.5,0.91,0.04,0.73,0.04
SU_silt,2429,1984,445,81.68,0.96,0.0,0.73,0.01
SU_wood,9,0,9,0.0,NULL,NULL,0.51,0.15
unknown,759,243,516,32.02,0.75,0.02,0.65,0.01
