location,img_name,key,site,transect,depth,depth_site_span,depth_transect_span,altitude,GPS_x,GPS_y,richness,Shannon,Simpson,Pielou,MDS1,MDS2,kelp_ratio,kelp_ratio_flipped,substrate_ratio,substrate_ratio_2,pebble_shell,hard_substrate_CCA,soft_sediment,shell_debris,cobble,pebble,hard_substrate,anthro_substrate,unknown,filamentous_brown,sargassum,sugar_kelp,green_algae,textured_kelp,other_brown_kelp,red_algae,coralline_algae,kelp_bryozoan,sessile_invert,mobile_invert,AN_large,AN_plumose,CL_siphon,CR_cancer,CR_kelp,CR_sharp,CU_burrow,CU_cali,fish_gunn,fish_sculp,GR_kelp,GR_lingcod,GR_painted,RF_brown,RF_copper,SP_stripe,SP_kelp,SP_pile,SP_shiner,SS_blood,SS_leather,SS_ochre
other,2022_10_06_13-50-40_88.jpg,1_1,1,1,6.2484,1.28016,1.09728,0.970333333,47.63028123,-122.3983597,9,0.8520724,0.361979167,0.387794861,-0.898968374,-0.422599823,77,0,1,4.5,8,1,1,7,1,1,1,0,1,0,0,76,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_152.jpg,1_1,1,1,6.03504,1.28016,1.09728,0.921777778,47.63029428,-122.3984651,5,1.037991565,0.58018268,0.644940421,-0.851119494,-0.198194719,52,0,2,33,32,0,2,31,8,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_336.jpg,1_1,1,1,5.91312,1.28016,1.09728,0.904777778,47.6303156,-122.3987463,7,1.098637823,0.483931947,0.564588156,-0.613154346,-0.416879895,11,0.1,2,8,7,0,6,6,3,1,0,0,6,0,0,65,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_136.jpg,1_1,1,1,6.096,1.28016,1.09728,0.963333333,47.63029115,-122.3984387,5,0.936675954,0.476345486,0.581989492,-0.807492648,-0.341173395,68,0,1,17,16,0,8,16,4,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_200.jpg,1_1,1,1,5.97408,1.28016,1.09728,0.972,47.63030188,-122.3985406,6,0.839557687,0.396193772,0.468566067,-0.856918714,-0.334308141,53,0,2,3,2,0,0,1,6,1,0,0,7,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_432.jpg,1_1,1,1,5.42544,1.28016,1.09728,1.2251,47.6303266,-122.3988875,9,1.478329894,0.715420057,0.67281693,-0.336740198,0.097403363,29,0,1,6,5,0,3,5,1,0,0,0,41,0,0,28,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
other,2022_10_06_13-50-40_24.jpg,1_1,1,1,6.43128,1.28016,1.09728,0.964555556,47.63027104,-122.3982706,6,1.271626928,0.620649786,0.709708502,-0.684789605,-0.196462593,54,0,1,18,17,0,3,17,11,0,0,0,7,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_16.jpg,1_1,1,1,6.46176,1.28016,1.09728,0.968444444,47.63026998,-122.3982604,9,1.524544101,0.666666667,0.693849922,-0.463802277,-0.347924181,4.8,0.2,5,18,17,0,7,13,5,4,0,0,2,0,0,52,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_416.jpg,1_1,1,1,5.45592,1.28016,1.09728,1.017888889,47.63032454,-122.3988611,7,1.050861731,0.5156,0.540036101,-0.690429873,-0.412330881,67,0,0.3,3.8,22,5,0,21,0,1,5,0,4,0,0,66,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2022_10_06_13-50-40_72.jpg,1_1,1,1,6.2484,1.28016,1.09728,1.015,47.63027808,-122.398334,6,1.226797146,0.6004,0.684688524,-0.801645949,-0.17444114,60,0,6,25,24,0,0,19,8,5,0,0,1,0,0,59,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
