time,date,site,transect,key,flight_time,sec_csum,depth,heading,lat,lon,temp,avg_dist,avg_conf,EucDIS,lat_smooth,lon_smooth,EucSmooth,heading_degrees,sim_x,sim_y,width,height,area,img_name,Points,cup_SI,anem_SI,bivalve_SI,CaCuc_MS,crab_MS,CucEmb_SI,encru_SI,gastro_MS,HydBry_SI,KelpBry_SI,scallop_SI,SponSol_SI,SStar_MS,TunSol_SI,urchin_MS,shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,glass_SU,metal_SU,poly_SU,UNIdent,X3rib_KE,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,cord_KE,crust_CA,DiRet_KE,feath_KE,filam_BR,filam_RE,FlatAci_BR,fucus_BR,giant_KE,holdfas_BR,LaEph_KE,LaLoSi_KE,leaf_RE,palm_KE,ribbn_KE,sargass_BR,senes_AL,senes_RE,split_KE,stalk_KE,strap_KE,StriAci_BR,sugar_KE,ulva_GR,undaria_BR,unk_BR,unk_RE,eel_SG,surf_SG,alt_smooth,SimDIS
13:50:40,10/6/2022,1,1,1_1,0:08:57,0,-6.52272,263,47.630268,-122.3982391,55.13,0.933333333,100,0,47.63027742,-122.398237,0,275,47.630268,-122.3982391,2.616970149,1.143894804,2.993538556,2022_10_06_13-50-40_0.jpg,100,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,5,7,0,1,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1,0,0,0,NA,NA
13:52:24,10/6/2022,1,1,1_1,0:10:41,104,-6.27888,265,47.6302757,-122.3984451,55.09,0.933333333,100,0,47.63029786,-122.398433,0,277,47.63028363,-122.3983792,2.616970149,1.143894804,2.993538556,2022_10_06_13-50-40_104.jpg,100,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,8,5,0,6,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,2,0,0,0,NA,NA
13:52:32,10/6/2022,1,1,1_1,0:10:49,112,-6.03504,265,47.6302909,-122.3984527,55.09,1.039111111,100,1.141957643,47.63029851,-122.3984474,1.141957643,277,47.63028532,-122.398393,2.9135601,1.273536216,3.710524303,2022_10_06_13-50-40_112.jpg,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,6,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,22,0,0,0,NA,NA
13:52:40,10/6/2022,1,1,1_1,0:10:57,120,-6.096,265,47.6303253,-122.398468,55.09,1.037222222,100,1.267012467,47.63029884,-122.39846,1.267012467,277,47.63028698,-122.3984065,2.90826385,1.27122119,3.697046633,2022_10_06_13-50-40_120.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,0,0,0,0,0,NA,NA
13:52:48,10/6/2022,1,1,1_1,0:11:05,128,-6.06552,265,47.6303062,-122.3984603,55.09,1.061,100,0,47.6302983,-122.3984719,0,277,47.63028893,-122.3984224,2.974934281,1.300363272,3.868495277,2022_10_06_13-50-40_128.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53,3,0,4,0,0,0,NA,NA
13:52:56,10/6/2022,1,1,1_1,0:11:13,136,-6.096,265,47.6302871,-122.3984909,55.09,0.963333333,100,0.578491742,47.6302959,-122.3984836,0.578491742,277,47.63029115,-122.3984387,2.701087046,1.180662851,3.189073134,2022_10_06_13-50-40_136.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,3,0,0,1,NA,NA
13:53:04,10/6/2022,1,1,1_1,0:11:21,144,-6.18744,265,47.6302833,-122.3984909,55.11,1.022777778,100,0.710201295,47.63028758,-122.3984943,0.710201295,277,47.63029282,-122.3984527,2.867763123,1.253518057,3.594792858,2022_10_06_13-50-40_144.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,4,0,0,1,NA,NA
13:53:12,10/6/2022,1,1,1_1,0:11:29,152,-6.03504,265,47.6302795,-122.3985137,55.09,0.921777778,100,0,47.6302902,-122.3985122,0,277,47.63029428,-122.3984651,2.584569568,1.129732298,2.919871716,2022_10_06_13-50-40_152.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,NA,NA
13:50:56,10/6/2022,1,1,1_1,0:09:13,16,-6.46176,264,47.630268,-122.3982772,55.11,0.968444444,100,0,47.63026555,-122.398276,0,276,47.63026998,-122.3982604,2.715418073,1.186927037,3.223003128,2022_10_06_13-50-40_16.jpg,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,7,0,5,0,0,4,0,0,0,0,0,0,0,2,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,NA,NA
13:53:20,10/6/2022,1,1,1_1,0:11:37,160,-6.00456,265,47.6302947,-122.3985061,55.09,0.991333333,100,1.019555106,47.63029167,-122.3985272,1.019555106,277,47.63029563,-122.3984757,2.779596151,1.214979696,3.377152885,2022_10_06_13-50-40_160.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,NA,NA
