SU,site_name,site,transect,stipes,bundles,anem_SI,crab_MS,CucEmb_SI,encru_SI,HydBry_SI,KelpBry_SI,SStar_MS,Shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,metal_SU,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,cord_KE,crust_CA,filam_BR,filam_RE,fucus_BR,holdfas_BR,LaEph_KE,leaf_RE,palm_KE,ribbn_KE,sargass_BR,senes_AL,senes_RE,stalk_KE,StriAci_BR,sugar_KE,ulva_GR,unk_BR,unk_RE,eel_SG,surf_SG
1,Magnolia,1,1,18,2,0,2,0,2,0,51,2,596,172,25,237,0,0,105,0,0,0,0,0,111,0,9,0,288,5,10,0,0,0,0,7,5,0,3,0,41,0,3,0,0,0,0,0,4063,97,135,0,0,2
2,Magnolia,1,2,20,4,0,3,0,0,0,39,2,413,116,14,200,0,0,90,0,0,0,0,0,51,0,3,0,182,5,2,0,0,0,0,6,3,0,2,0,18,0,0,0,0,0,0,0,2411,44,66,0,0,1
3,Magnolia,1,3,39,7,0,1,0,0,0,26,0,244,71,9,93,0,0,44,0,0,0,0,0,47,0,0,0,131,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1900,27,44,0,0,1
4,Magnolia,1,4,49,11,0,0,0,0,0,20,2,262,84,9,128,0,0,58,0,0,0,0,0,67,0,8,0,252,3,4,0,0,0,0,8,3,0,0,0,25,0,0,0,0,0,0,0,1808,48,71,0,0,1
5,WRipRap,2,2,6,0,0,0,1,0,0,0,3,946,712,25,117,0,21,313,0,0,0,3,0,36,0,22,0,50,0,0,0,1410,0,1,71,52,0,0,0,276,0,0,0,1,3,0,0,23,26,89,36,0,0
6,WRipRap,2,1,0,0,0,1,1,0,0,0,6,1024,911,53,150,0,15,397,0,0,0,2,3,36,0,66,0,31,0,0,0,1647,0,2,100,165,0,0,0,301,0,0,0,1,4,0,0,41,32,74,27,0,0
7,WRipRap,2,3,69,13,0,1,0,0,0,0,1,738,771,51,105,0,22,262,0,0,0,3,6,0,0,49,0,23,0,0,0,929,0,3,97,137,0,0,0,282,0,0,0,2,6,0,0,39,24,85,21,0,0
8,WRipRap,2,4,109,18,0,1,1,0,0,0,4,615,704,19,103,0,8,269,0,0,0,0,0,0,0,54,0,3,0,0,0,994,0,4,76,126,0,0,0,212,0,0,0,0,4,0,0,54,43,28,16,0,0
9,CRipRap,3,1,161,31,17,4,1,0,5,3,17,58,52,1491,327,0,0,13,585,1,1,7,0,181,0,82,10,121,48,40,50,1601,0,400,152,162,0,4,1,584,0,1,10,15,1,0,1,283,875,246,64,0,2
10,CRipRap,3,2,0,0,12,1,0,0,0,0,10,41,30,907,145,0,0,12,306,1,1,7,0,100,0,58,10,107,26,30,44,750,0,191,150,104,0,3,0,354,0,0,6,3,1,0,0,192,543,185,34,0,4
11,CRipRap,3,3,1,0,9,1,2,0,0,4,12,48,29,945,218,0,0,13,479,0,0,8,0,101,0,59,0,58,19,34,42,1368,0,249,136,176,0,2,1,452,0,2,0,3,2,0,2,267,622,176,59,0,2
12,CRipRap,3,4,48,9,22,3,2,0,0,4,4,37,20,1042,227,0,0,11,399,1,0,3,0,125,0,55,0,78,42,40,84,1263,0,251,127,83,0,4,1,455,0,1,4,13,0,0,1,167,567,168,59,0,0
13,ERipRap,4,1,1,0,1,2,0,1,0,0,2,1330,706,216,152,1,15,700,23,0,0,1,0,53,0,21,0,57,1,2,0,1763,0,4,6,25,0,0,0,260,0,0,0,0,0,0,0,65,68,91,23,1,0
14,ERipRap,4,2,0,0,2,2,0,1,0,0,0,1052,606,165,133,1,8,781,8,0,0,2,0,0,0,12,0,49,0,1,0,1302,0,4,6,29,0,0,0,252,0,0,0,0,0,0,0,53,72,36,19,0,0
15,ERipRap,4,3,61,7,0,0,0,0,0,0,2,943,434,73,108,0,9,455,6,0,0,0,0,0,0,17,0,56,3,1,0,1335,0,4,4,13,0,0,0,180,0,0,0,0,0,0,0,16,42,70,24,1,0
16,ERipRap,4,4,122,27,1,4,0,2,0,0,0,815,421,106,90,0,2,331,16,0,0,1,0,0,0,10,0,28,0,1,0,938,0,1,1,9,0,0,0,145,0,0,0,0,0,0,0,42,44,52,9,0,0
17,Gelevator,5,1,39,5,0,13,1,8,0,36,15,462,101,228,352,0,9,900,12,4,0,1,2,382,2,162,0,457,10,171,0,1198,1,13,228,222,16,3,0,1214,1,2,36,292,48,5,0,1462,171,333,101,0,0
18,Gelevator,5,2,3,0,0,8,2,9,0,23,9,227,65,133,231,0,2,509,7,4,0,0,6,187,0,119,0,191,5,81,0,718,0,5,135,146,4,3,0,878,0,2,25,221,21,0,0,797,119,223,54,0,0
19,Gelevator,5,3,28,5,0,6,1,4,0,20,8,242,96,117,232,0,12,751,8,1,0,0,0,235,0,70,0,240,4,210,0,1178,1,0,129,123,7,4,0,602,1,0,11,249,38,5,0,717,98,139,37,0,0
20,Gelevator,5,4,73,10,0,4,0,8,0,13,11,226,66,156,218,0,4,546,9,2,0,1,2,334,0,94,0,355,8,135,0,959,0,8,148,143,9,1,0,760,0,0,31,249,34,0,0,1003,121,249,40,0,0
21,Sspring,6,1,123,12,0,16,0,0,0,0,4,450,330,54,271,0,0,438,0,0,0,2,0,11,7,166,1,170,12,44,0,10,0,13,5,23,0,3,0,761,0,40,1262,18,1,0,0,2472,1741,41,50,0,0
22,Sspring,6,2,87,12,0,3,0,0,0,0,4,169,119,36,135,0,0,269,0,0,0,0,0,0,1,87,0,10,1,17,0,0,0,8,0,10,0,0,0,468,0,13,591,8,0,0,0,1469,926,24,13,0,0
