"SU","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
20,"1_1",1,1,6.43128,1.28016,1.09728,0.964555556,47.63027104,-122.3982706,"2022_10_06_13-50-40_24.jpg",3,17,11,0,0,0,7,0,0,53,2,0,0,0,0,0,0,0
46,"1_1",1,1,5.42544,1.28016,1.09728,0.9181,47.63032538,-122.3988719,"2022_10_06_13-50-40_424.jpg",9,4,4,0,4,0,6,6,0,44,3,3,0,15,0,0,0,2
7,"1_1",1,1,6.18744,1.28016,1.09728,1.022777778,47.63029282,-122.3984527,"2022_10_06_13-50-40_144.jpg",7,6,4,1,0,0,0,0,0,67,1,0,0,3,0,1,0,0
44,"1_1",1,1,5.69976,1.28016,1.09728,0.936222222,47.63032346,-122.3988476,"2022_10_06_13-50-40_408.jpg",6,10,1,3,3,0,4,0,0,72,0,0,0,0,0,1,0,0
18,"1_1",1,1,5.91312,1.28016,1.09728,1.068111111,47.63030245,-122.3985749,"2022_10_06_13-50-40_224.jpg",3,11,3,4,0,0,0,0,0,66,6,0,0,0,0,0,0,0
50,"1_1",1,1,5.60832,1.28016,1.09728,1.055777778,47.63032966,-122.398927,"2022_10_06_13-50-40_456.jpg",0,1,0,0,0,0,1,0,0,97,0,0,0,0,0,1,0,0
19,"1_1",1,1,6.06552,1.28016,1.09728,0.871,47.63030291,-122.3985889,"2022_10_06_13-50-40_232.jpg",5,15,4,2,0,0,0,0,0,60,3,0,0,0,0,0,0,0
12,"1_1",1,1,6.00456,1.28016,1.09728,1.036666667,47.6302991,-122.3985031,"2022_10_06_13-50-40_176.jpg",9,5,1,0,1,0,22,0,0,45,1,2,0,0,0,1,0,0
60,"1_1",1,1,6.2484,1.28016,1.09728,1.013555556,47.63027941,-122.3983449,"2022_10_06_13-50-40_80.jpg",1,28,7,9,0,0,1,0,0,48,3,0,0,0,0,1,0,0
54,"1_1",1,1,5.6388,1.28016,1.09728,1.0624,47.63033309,-122.3989724,"2022_10_06_13-50-40_480.jpg",2,8,2,0,0,0,0,0,0,84,3,0,0,1,0,0,0,0
4,"1_1",1,1,6.096,1.28016,1.09728,1.037222222,47.63028698,-122.3984065,"2022_10_06_13-50-40_120.jpg",0,11,8,3,0,0,0,0,0,68,3,0,0,0,0,0,0,0
26,"1_1",1,1,5.88264,1.28016,1.09728,0.9532,47.63030853,-122.3986584,"2022_10_06_13-50-40_280.jpg",0,4,2,0,0,0,0,1,0,47,0,13,0,0,0,0,0,0
40,"1_1",1,1,5.69976,1.28016,1.09728,1.025111111,47.63032097,-122.3988154,"2022_10_06_13-50-40_384.jpg",1,8,2,8,0,0,1,0,0,67,1,11,0,0,0,1,0,0
10,"1_1",1,1,6.00456,1.28016,1.09728,0.991333333,47.63029563,-122.3984757,"2022_10_06_13-50-40_160.jpg",3,7,5,1,0,0,0,0,0,80,1,0,0,0,0,1,0,0
13,"1_1",1,1,5.9436,1.28016,1.09728,1.002222222,47.63030051,-122.3985163,"2022_10_06_13-50-40_184.jpg",0,3,5,1,0,0,5,0,0,64,3,0,0,3,0,1,0,0
58,"1_1",1,1,6.2484,1.28016,1.09728,1.015,47.63027808,-122.398334,"2022_10_06_13-50-40_72.jpg",0,19,8,5,0,0,1,0,0,59,8,0,0,0,0,0,0,0
62,"1_1",1,1,6.2484,1.28016,1.09728,0.9608,47.63028217,-122.3983673,"2022_10_06_13-50-40_96.jpg",2,8,1,7,1,0,1,0,0,70,0,8,0,0,0,1,0,0
3,"1_1",1,1,6.03504,1.28016,1.09728,1.039111111,47.63028532,-122.398393,"2022_10_06_13-50-40_112.jpg",6,9,7,0,0,0,3,0,0,44,0,0,0,2,0,2,0,0
22,"1_1",1,1,5.91312,1.28016,1.09728,0.9673,47.63030448,-122.3986124,"2022_10_06_13-50-40_248.jpg",1,7,4,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
6,"1_1",1,1,6.096,1.28016,1.09728,0.963333333,47.63029115,-122.3984387,"2022_10_06_13-50-40_136.jpg",8,16,4,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0
8,"1_1",1,1,6.03504,1.28016,1.09728,0.921777778,47.63029428,-122.3984651,"2022_10_06_13-50-40_152.jpg",2,31,8,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0
45,"1_1",1,1,5.45592,1.28016,1.09728,1.017888889,47.63032454,-122.3988611,"2022_10_06_13-50-40_416.jpg",0,21,0,1,5,0,4,0,0,66,2,0,0,1,0,0,0,0
43,"1_1",1,1,5.73024,1.28016,1.09728,0.978,47.63032278,-122.3988383,"2022_10_06_13-50-40_400.jpg",0,3,0,0,0,0,21,0,0,70,0,0,0,0,0,6,0,0
51,"1_1",1,1,5.60832,1.28016,1.09728,1.129111111,47.63033068,-122.3989407,"2022_10_06_13-50-40_464.jpg",1,6,0,0,0,0,1,0,0,92,0,0,0,0,0,0,0,0
