key,site,transect,depth,depth_site_span,depth_transect_span,altitude,GPS_x,GPS_y,richness,Shannon,Simpson,Pielou,img_name,soft_sediment,shell_debris,cobble,pebble,hard_substrate,anthro_substrate,unknown,filamentous_brown,sargassum,sugar_kelp,green_algae,textured_kelp,other_brown_kelp,red_algae,coralline_algae,kelp_bryozoan,sessile_invert,mobile_invert
1_1,1,1,6.2484,1.28016,1.09728,0.970333333,47.63028123,-122.3983597,9,0.8520724,0.361979167,0.387794861,2022_10_06_13-50-40_88.jpg,1,7,1,1,1,0,1,0,0,76,7,0,0,0,0,1,0,0
1_1,1,1,6.03504,1.28016,1.09728,0.921777778,47.63029428,-122.3984651,5,1.037991565,0.58018268,0.644940421,2022_10_06_13-50-40_152.jpg,2,31,8,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0
1_1,1,1,5.91312,1.28016,1.09728,0.904777778,47.6303156,-122.3987463,7,1.098637823,0.483931947,0.564588156,2022_10_06_13-50-40_336.jpg,6,6,3,1,0,0,6,0,0,65,0,5,0,0,0,0,0,0
1_1,1,1,6.096,1.28016,1.09728,0.963333333,47.63029115,-122.3984387,5,0.936675954,0.476345486,0.581989492,2022_10_06_13-50-40_136.jpg,8,16,4,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0
1_1,1,1,5.97408,1.28016,1.09728,0.972,47.63030188,-122.3985406,5,0.774295586,0.378257964,0.481096897,2022_10_06_13-50-40_200.jpg,0,1,6,1,0,0,7,0,0,52,0,0,0,0,0,0,0,0
1_1,1,1,5.42544,1.28016,1.09728,1.2251,47.6303266,-122.3988875,8,1.437011657,0.7098,0.69105653,2022_10_06_13-50-40_432.jpg,3,5,1,0,0,0,41,0,0,28,1,0,0,20,0,1,0,0
1_1,1,1,6.43128,1.28016,1.09728,0.964555556,47.63027104,-122.3982706,6,1.271626928,0.620649786,0.709708502,2022_10_06_13-50-40_24.jpg,3,17,11,0,0,0,7,0,0,53,2,0,0,0,0,0,0,0
1_1,1,1,6.46176,1.28016,1.09728,0.968444444,47.63026998,-122.3982604,9,1.524544101,0.666666667,0.693849922,2022_10_06_13-50-40_16.jpg,7,13,5,4,0,0,2,0,0,52,1,10,0,0,0,2,0,0
1_1,1,1,5.45592,1.28016,1.09728,1.017888889,47.63032454,-122.3988611,7,1.050861731,0.5156,0.540036101,2022_10_06_13-50-40_416.jpg,0,21,0,1,5,0,4,0,0,66,2,0,0,1,0,0,0,0
1_1,1,1,6.2484,1.28016,1.09728,1.015,47.63027808,-122.398334,6,1.226797146,0.6004,0.684688524,2022_10_06_13-50-40_72.jpg,0,19,8,5,0,0,1,0,0,59,8,0,0,0,0,0,0,0
1_1,1,1,6.00456,1.28016,1.09728,0.948555556,47.63030207,-122.3985503,6,0.622771991,0.258034026,0.347575666,2022_10_06_13-50-40_208.jpg,2,3,4,0,0,0,1,0,0,79,0,0,0,0,0,3,0,0
1_1,1,1,5.9436,1.28016,1.09728,0.978,47.63030755,-122.3986472,5,0.865042332,0.410864198,0.537481021,2022_10_06_13-50-40_272.jpg,4,2,0,0,0,0,1,0,0,34,0,4,0,0,0,0,0,0
1_1,1,1,5.91312,1.28016,1.09728,0.983555556,47.63030704,-122.3986411,7,1.283193381,0.633130194,0.659430951,2022_10_06_13-50-40_264.jpg,2,6,3,0,0,0,4,0,0,49,2,29,0,0,0,0,0,0
1_1,1,1,5.69976,1.28016,1.09728,0.936222222,47.63032346,-122.3988476,8,1.066837991,0.4644,0.513040626,2022_10_06_13-50-40_408.jpg,6,10,1,3,3,0,4,0,0,72,0,0,0,0,0,1,0,0
1_1,1,1,6.4008,1.28016,1.09728,0.936666667,47.6302734,-122.3982933,7,1.057416846,0.4856,0.543404765,2022_10_06_13-50-40_40.jpg,1,11,2,3,3,0,10,0,0,70,0,0,0,0,0,0,0,0
1_1,1,1,5.6388,1.28016,1.09728,1.047,47.63033169,-122.3989541,3,0.111902057,0.0394,0.101857642,2022_10_06_13-50-40_472.jpg,1,1,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
1_1,1,1,5.42544,1.28016,1.09728,0.9181,47.63032538,-122.3988719,11,1.875022864,0.7616,0.781945269,2022_10_06_13-50-40_424.jpg,9,4,4,0,4,0,6,6,0,44,3,3,0,15,0,0,0,2
1_1,1,1,5.60832,1.28016,1.09728,0.960888889,47.63032863,-122.3989148,5,0.375809977,0.1514,0.233503867,2022_10_06_13-50-40_448.jpg,4,1,0,0,2,0,0,0,0,92,0,0,0,0,0,1,0,0
1_1,1,1,5.76072,1.28016,1.09728,1.012,47.63031929,-122.3987944,9,1.326162942,0.619331066,0.603562765,2022_10_06_13-50-40_368.jpg,1,13,14,3,0,0,1,0,0,48,2,1,0,0,0,1,0,0
