key,site,transect,img_name,MDS1,MDS2,richness,Shannon,Simpson,Pielou,soft_sediment,shell_debris,cobble,pebble,hard_substrate,anthro_substrate,unknown,filamentous_brown,sargassum,sugar_kelp,green_algae,textured_kelp,other_brown_kelp,red_algae,coralline_algae,kelp_bryozoan,sessile_invert,mobile_invert
1_1,1,1,2022_10_06_13-50-40_208.jpg,-0.95150675,-0.514340914,6,0.622771991,0.258034026,0.347575666,2,3,4,0,0,0,1,0,0,79,0,0,0,0,0,3,0,0
1_1,1,1,2022_10_06_13-50-40_272.jpg,-0.632285507,-0.659699696,5,0.865042332,0.410864198,0.537481021,4,2,0,0,0,0,1,0,0,34,0,4,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_288.jpg,-0.928340778,-0.478393207,8,0.670047162,0.270258035,0.322224573,1,6,1,2,0,0,1,0,0,80,1,0,0,0,0,2,0,0
1_1,1,1,2022_10_06_13-50-40_320.jpg,-0.570782724,-0.406729372,8,1.23639326,0.555687673,0.594579475,2,12,5,1,0,0,4,0,0,56,0,6,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_480.jpg,-0.904705354,-0.462797626,6,0.656244496,0.2862,0.366257027,2,8,2,0,0,0,0,0,0,84,3,0,0,1,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_328.jpg,-0.798751262,-0.42449254,7,0.884177842,0.405672891,0.454377527,3,13,0,1,0,0,4,0,0,75,1,0,0,0,0,2,0,0
1_1,1,1,2022_10_06_13-50-40_192.jpg,-0.870764767,-0.40040929,7,0.904844745,0.396454294,0.464998214,1,2,8,0,0,0,6,0,0,73,2,0,3,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_440.jpg,-0.731541802,-0.54692338,9,0.960576743,0.397,0.437177316,4,2,0,0,5,0,1,0,0,77,0,0,0,7,0,1,2,0
1_1,1,1,2022_10_06_13-50-40_200.jpg,-0.870353752,-0.311298329,5,0.774295586,0.378257964,0.481096897,0,1,6,1,0,0,7,0,0,52,0,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_416.jpg,-0.684144418,-0.418549812,7,1.050861731,0.5156,0.540036101,0,21,0,1,5,0,4,0,0,66,2,0,0,1,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_264.jpg,-0.225794195,-0.539171995,7,1.283193381,0.633130194,0.659430951,2,6,3,0,0,0,4,0,0,49,2,29,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_128.jpg,-0.636402806,-0.305784535,7,1.266834354,0.603067262,0.651024075,6,20,5,0,0,0,0,0,0,53,3,2,0,2,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_16.jpg,-0.452316778,-0.362084912,9,1.524544101,0.666666667,0.693849922,7,13,5,4,0,0,2,0,0,52,1,10,0,0,0,2,0,0
1_1,1,1,2022_10_06_13-50-40_72.jpg,-0.789320259,-0.189299752,6,1.226797146,0.6004,0.684688524,0,19,8,5,0,0,1,0,0,59,8,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_408.jpg,-0.70704158,-0.409674786,8,1.066837991,0.4644,0.513040626,6,10,1,3,3,0,4,0,0,72,0,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_464.jpg,-0.989219919,-0.568973498,4,0.337619127,0.1498,0.24354072,1,6,0,0,0,0,1,0,0,92,0,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_432.jpg,-0.37823798,0.147447051,8,1.437011657,0.7098,0.69105653,3,5,1,0,0,0,41,0,0,28,1,0,0,20,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_176.jpg,-0.531826449,-0.248305184,9,1.379571899,0.653454882,0.627870229,9,5,1,0,1,0,22,0,0,45,1,2,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_8.jpg,-0.709766598,-0.371257749,7,1.075181943,0.500441863,0.552534218,1,13,7,0,0,0,3,0,0,61,2,2,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_96.jpg,-0.603243917,-0.488936112,9,1.103469375,0.48117539,0.502210555,2,8,1,7,1,0,1,0,0,70,0,8,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_184.jpg,-0.777866469,-0.333494451,8,1.005587644,0.422145329,0.483585436,0,3,5,1,0,0,5,0,0,64,3,0,0,3,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_112.jpg,-0.638031158,-0.27970955,7,1.321696174,0.602364421,0.679217473,6,9,7,0,0,0,3,0,0,44,0,0,0,2,0,2,0,0
1_1,1,1,2022_10_06_13-50-40_40.jpg,-0.675597822,-0.362478577,7,1.057416846,0.4856,0.543404765,1,11,2,3,3,0,10,0,0,70,0,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_216.jpg,-0.89045687,-0.473703645,6,0.608918348,0.254461871,0.339843801,2,5,2,0,0,0,0,0,0,74,1,0,0,2,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_296.jpg,-0.837500405,-0.456248416,6,0.721241315,0.315308642,0.402532442,2,6,2,0,0,0,5,0,0,74,0,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_352.jpg,-0.916774021,-0.384666034,6,0.804105383,0.355648052,0.448779759,2,3,4,0,0,0,2,0,0,74,8,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_240.jpg,-0.54079702,0.056928029,8,1.750434415,0.789965986,0.841781017,7,18,16,6,0,0,0,0,0,28,4,0,0,4,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_0.jpg,-0.728871622,-0.366418516,7,1.07701613,0.483965015,0.553476804,7,5,1,2,0,0,10,0,0,69,0,0,0,0,0,4,0,1
1_1,1,1,2022_10_06_13-50-40_448.jpg,-0.991114722,-0.639625327,5,0.375809977,0.1514,0.233503867,4,1,0,0,2,0,0,0,0,92,0,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_88.jpg,-0.900222467,-0.418362598,9,0.8520724,0.361979167,0.387794861,1,7,1,1,1,0,1,0,0,76,7,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_56.jpg,-0.731079424,-0.319177401,8,1.130383724,0.5092,0.543599664,4,15,4,4,0,0,3,0,0,68,1,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_144.jpg,-0.77072987,-0.374017123,8,1.000616918,0.431851852,0.481195022,7,6,4,1,0,0,0,0,0,67,1,0,0,3,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_80.jpg,-0.732591421,-0.110996325,8,1.362400092,0.663681799,0.655175952,1,28,7,9,0,0,1,0,0,48,3,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_152.jpg,-0.846710899,-0.224125049,6,1.118247085,0.597229917,0.624105581,2,31,8,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_224.jpg,-0.822284915,-0.293193644,6,1.029572945,0.474274483,0.574615601,3,11,3,4,0,0,0,0,0,66,6,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_104.jpg,-0.772448515,-0.299406977,8,1.206210858,0.521481481,0.580064808,5,8,6,4,0,0,1,0,0,61,2,0,0,0,0,3,0,1
1_1,1,1,2022_10_06_13-50-40_368.jpg,-0.750559157,-0.223817249,9,1.326162942,0.619331066,0.603562765,1,13,14,3,0,0,1,0,0,48,2,1,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_168.jpg,-0.785947618,-0.417165417,7,0.887610145,0.405876951,0.456141382,3,13,3,0,0,0,0,0,0,75,1,0,0,3,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_256.jpg,-0.941371085,-0.533661374,5,0.519933525,0.222834405,0.323052863,0,6,2,0,0,0,2,0,0,87,0,0,0,0,0,2,0,0
1_1,1,1,2022_10_06_13-50-40_32.jpg,-0.677607378,-0.260206884,9,1.195280474,0.56398892,0.543995587,1,19,1,2,0,0,9,0,0,59,2,0,0,1,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_48.jpg,-0.546270444,-0.097571708,7,1.554078491,0.720461747,0.79863836,8,20,8,5,0,0,8,0,0,43,2,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_280.jpg,-0.494211024,-0.662959605,5,0.902711265,0.465582535,0.560886045,0,4,2,0,0,0,0,1,0,47,0,13,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_64.jpg,-0.535662756,-0.403068464,7,1.186491292,0.5472,0.609735908,2,13,1,4,0,0,7,0,0,65,0,8,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_232.jpg,-0.774448368,-0.295281621,6,1.066659685,0.510289105,0.595314105,5,15,4,2,0,0,0,0,0,60,3,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_304.jpg,-0.986388731,-0.539900672,3,0.336144768,0.165383159,0.305972153,0,7,0,0,0,0,1,0,0,81,0,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_160.jpg,-0.89300182,-0.447094993,7,0.753064129,0.324656393,0.386998408,3,7,5,1,0,0,0,0,0,80,1,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_136.jpg,-0.785004719,-0.374096725,5,0.936675954,0.476345486,0.581989492,8,16,4,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_312.jpg,-0.759896305,-0.396852063,7,0.928871769,0.421997755,0.477345663,3,12,3,1,0,0,5,0,0,74,0,0,0,0,0,1,0,0
1_1,1,1,2022_10_06_13-50-40_120.jpg,-0.861891772,-0.331995385,5,0.913991127,0.441900798,0.567894617,0,11,8,3,0,0,0,0,0,68,3,0,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_248.jpg,-0.951811795,-0.511672953,4,0.487731946,0.227213542,0.35182423,1,7,4,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
1_2,1,2,2022_10_06_14-05-43_144.jpg,-1.015251657,-0.576563381,4,0.292246251,0.117242815,0.210811108,0,3,2,0,0,0,1,0,0,92,0,0,0,0,0,0,0,0
1_2,1,2,2022_10_06_14-05-43_72.jpg,-0.85190722,-0.401509565,5,0.67291976,0.318262939,0.418108555,0,2,3,1,0,0,9,0,0,67,0,0,0,0,0,0,0,0
1_2,1,2,2022_10_06_14-05-43_168.jpg,-0.9191345,-0.494596633,6,0.604089065,0.2938,0.337148527,0,13,1,0,0,0,0,0,0,83,1,0,0,1,0,0,0,0
1_2,1,2,2022_10_06_14-05-43_408.jpg,-0.95493655,-0.576257246,3,0.323756183,0.1496,0.294695578,0,2,0,0,0,0,0,0,0,92,0,0,0,6,0,0,0,0
1_2,1,2,2022_10_06_14-05-43_8.jpg,-0.70200109,-0.29804435,5,1.023629764,0.532733343,0.636016932,3,19,0,2,0,0,6,0,0,53,0,0,0,0,0,0,0,0
1_2,1,2,2022_10_06_14-05-43_104.jpg,-0.860826782,-0.03648446,6,1.233986109,0.646872768,0.688700761,0,3,1,0,0,0,33,0,0,47,12,0,0,0,0,3,0,0
1_2,1,2,2022_10_06_14-05-43_96.jpg,-0.648870366,-0.466045678,9,1.137567797,0.553314817,0.517729416,1,23,1,1,0,0,1,0,0,56,1,5,0,0,0,2,0,0
1_2,1,2,2022_10_06_14-05-43_176.jpg,-0.775405929,-0.268607849,8,1.169519762,0.567901235,0.56242012,0,20,8,2,0,0,1,0,0,55,1,0,0,1,0,2,0,0
1_2,1,2,2022_10_06_14-05-43_304.jpg,-0.874211321,-0.55782015,5,0.511936183,0.236506479,0.318083835,1,0,0,1,2,0,9,0,0,86,0,0,0,0,0,0,0,1
1_2,1,2,2022_10_06_14-05-43_40.jpg,-0.483931087,0.01168223,7,1.596485214,0.757480116,0.820431105,4,21,7,6,0,0,17,0,0,33,1,0,0,0,0,0,0,0
1_2,1,2,2022_10_06_14-05-43_16.jpg,-0.660331757,-0.261684309,7,1.258076085,0.583142814,0.646523215,3,11,6,1,0,0,8,0,0,50,0,0,0,0,0,2,0,0
1_2,1,2,2022_10_06_14-05-43_400.jpg,-0.926178787,-0.356056301,4,0.809921477,0.4232,0.58423485,0,12,0,0,0,0,2,0,0,74,12,0,0,0,0,0,0,0
