"location","img_name","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","richness","Shannon","Simpson","Pielou","MDS1","MDS2","kelp_ratio","kelp_ratio_flipped","substrate_ratio","substrate_ratio_2","pebble_shell","hard_substrate_CCA","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert","AN_large","AN_plumose","CL_siphon","CR_cancer","CR_kelp","CR_sharp","CU_burrow","CU_cali","fish_gunn","fish_sculp","GR_kelp","GR_lingcod","GR_painted","RF_brown","RF_copper","SP_stripe","SP_kelp","SP_pile","SP_shiner","SS_blood","SS_leather","SS_ochre"
"other","2022_10_06_13-50-40_88.jpg","1_1","1","1",6.2484,1.28016,1.09728,0.970333333,47.63028123,-122.3983597,9,0.852072400337258,0.361979166666667,0.387794861356529,-0.898968373996844,-0.422599823013908,77,0,1,4.5,8,1,1,7,1,1,1,0,1,0,0,76,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_152.jpg","1_1","1","1",6.03504,1.28016,1.09728,0.921777778,47.63029428,-122.3984651,5,1.03799156516897,0.580182680078622,0.64494042121769,-0.851119494423712,-0.198194718603746,52,0,2,33,32,0,2,31,8,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_336.jpg","1_1","1","1",5.91312,1.28016,1.09728,0.904777778,47.6303156,-122.3987463,7,1.09863782251104,0.483931947069943,0.564588155853135,-0.613154346110652,-0.416879895060563,11,0.1,2,8,7,0,6,6,3,1,0,0,6,0,0,65,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_136.jpg","1_1","1","1",6.096,1.28016,1.09728,0.963333333,47.63029115,-122.3984387,5,0.936675953624613,0.476345486111111,0.581989492348911,-0.807492647542024,-0.341173394558638,68,0,1,17,16,0,8,16,4,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_200.jpg","1_1","1","1",5.97408,1.28016,1.09728,0.972,47.63030188,-122.3985406,6,0.839557687161552,0.396193771626298,0.46856606680765,-0.856918713933088,-0.334308140587488,53,0,2,3,2,0,0,1,6,1,0,0,7,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_432.jpg","1_1","1","1",5.42544,1.28016,1.09728,1.2251,47.6303266,-122.3988875,9,1.4783298938805,0.715420056857171,0.672816929652559,-0.336740197848024,0.0974033634742617,29,0,1,6,5,0,3,5,1,0,0,0,41,0,0,28,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"other","2022_10_06_13-50-40_24.jpg","1_1","1","1",6.43128,1.28016,1.09728,0.964555556,47.63027104,-122.3982706,6,1.27162692822302,0.62064978610244,0.70970850164999,-0.684789605110328,-0.196462593483378,54,0,1,18,17,0,3,17,11,0,0,0,7,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_16.jpg","1_1","1","1",6.46176,1.28016,1.09728,0.968444444,47.63026998,-122.3982604,9,1.52454410068188,0.666666666666667,0.693849921581591,-0.463802277030316,-0.347924181196085,4.8,0.2,5,18,17,0,7,13,5,4,0,0,2,0,0,52,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_416.jpg","1_1","1","1",5.45592,1.28016,1.09728,1.017888889,47.63032454,-122.3988611,7,1.05086173065103,0.5156,0.540036101441373,-0.690429872592318,-0.412330881487361,67,0,0.3,3.8,22,5,0,21,0,1,5,0,4,0,0,66,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_72.jpg","1_1","1","1",6.2484,1.28016,1.09728,1.015,47.63027808,-122.398334,6,1.22679714575161,0.6004,0.684688523666715,-0.801645949142133,-0.174441139505322,60,0,6,25,24,0,0,19,8,5,0,0,1,0,0,59,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_208.jpg","1_1","1","1",6.00456,1.28016,1.09728,0.948555556,47.63030207,-122.3985503,6,0.622771991369662,0.258034026465028,0.34757566630189,-0.948992400877159,-0.511998477709383,80,0,1,4,3,0,2,3,4,0,0,0,1,0,0,79,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_272.jpg","1_1","1","1",5.9436,1.28016,1.09728,0.978,47.63030755,-122.3986472,6,0.950969503292823,0.435727788279773,0.530746185313886,-0.6343804924578,-0.654989165164819,7,0.1,1,3,2,0,4,2,0,0,0,0,1,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_264.jpg","1_1","1","1",5.91312,1.28016,1.09728,0.983555556,47.63030704,-122.3986411,7,1.2831933808098,0.633130193905817,0.659430951337992,-0.231649973217225,-0.534086105454547,1.7,0.6,1,7,6,0,2,6,3,0,0,0,4,0,0,49,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_408.jpg","1_1","1","1",5.69976,1.28016,1.09728,0.936222222,47.63032346,-122.3988476,9,1.11182131396054,0.474855406332713,0.506011686483337,-0.713599723375373,-0.402201524639589,73,0,1,3.5,13,3,6,10,1,3,3,0,4,0,0,72,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_40.jpg","1_1","1","1",6.4008,1.28016,1.09728,0.936666667,47.6302734,-122.3982933,7,1.05741684631503,0.4856,0.543404764515143,-0.679390027077749,-0.35774465791934,71,0,1,3.8,14,3,1,11,2,3,3,0,10,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_472.jpg","1_1","1","1",5.6388,1.28016,1.09728,1.047,47.63033169,-122.3989541,3,0.111902056890931,0.0394000000000001,0.101857641722353,-1.10636671376681,-0.640417351819408,99,0,1,2,1,0,1,1,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_424.jpg","1_1","1","1",5.42544,1.28016,1.09728,0.9181,47.63032538,-122.3988719,12,1.93476667089813,0.770472895040369,0.778607385940713,-0.347958979190409,-0.184456762249703,11.2,0.1,0.2,1,4,4,9,4,4,0,4,0,6,6,0,44,3,3,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"other","2022_10_06_13-50-40_448.jpg","1_1","1","1",5.60832,1.28016,1.09728,0.960888889,47.63032863,-122.3989148,5,0.37580997704698,0.1514,0.233503867495334,-0.981857091004098,-0.643199494969021,93,0,0.3,0.7,1,2,4,1,0,0,2,0,0,0,0,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_368.jpg","1_1","1","1",5.76072,1.28016,1.09728,1.012,47.63031929,-122.3987944,9,1.32616294155383,0.619331065759637,0.603562765150565,-0.767180104051095,-0.198003167190424,24.5,0,4,17,16,0,1,13,14,3,0,0,1,0,0,48,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_248.jpg","1_1","1","1",5.91312,1.28016,1.09728,0.9673,47.63030448,-122.3986124,4,0.487731945731325,0.227213541666667,0.351824229694854,-0.953732194763392,-0.50218090986873,85,0,1,8,7,0,1,7,4,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_160.jpg","1_1","1","1",6.00456,1.28016,1.09728,0.991333333,47.63029563,-122.3984757,7,0.753064129226974,0.324656393169513,0.386998407707862,-0.898600185363825,-0.437105664031744,81,0,2,9,8,0,3,7,5,1,0,0,0,0,0,80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_480.jpg","1_1","1","1",5.6388,1.28016,1.09728,1.0624,47.63033309,-122.3989724,6,0.65624449574288,0.2862,0.366257026689866,-0.908130483623029,-0.456889131282002,85,0,1,9,8,0,2,8,2,0,0,0,0,0,0,84,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_112.jpg","1_1","1","1",6.03504,1.28016,1.09728,1.039111111,47.63028532,-122.398393,8,1.3754202481308,0.612856099342586,0.661437323705526,-0.663577225390167,-0.240778043525179,45,0,1,10,9,0,6,9,7,0,0,0,3,0,0,44,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
