"key","site","transect","img_name","kelp_bryozoan","soft_sediment","cobble","pebble","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","shell_debris","hard_substrate","anthro_substrate","sessile_invert","mobile_invert","coralline_algae"
"1_1","1","1","2022_10_06_13-50-40_72.jpg",0,0,8,5,1,0,0,0,59,8,0,0,0,19,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_48.jpg",0,8,8,5,8,0,0,0,43,2,0,0,0,20,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_400.jpg",6,0,0,0,21,0,0,0,70,0,0,0,0,3,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_312.jpg",1,3,3,1,5,0,0,0,74,0,0,0,0,12,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_416.jpg",0,0,0,1,4,0,0,0,66,2,0,0,1,21,5,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_272.jpg",0,4,0,0,1,0,0,0,34,0,4,0,0,2,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_128.jpg",0,6,5,0,0,0,0,0,53,3,2,0,2,20,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_352.jpg",0,2,4,0,2,0,0,0,74,8,0,0,0,3,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_464.jpg",0,1,0,0,1,0,0,0,92,0,0,0,0,6,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_384.jpg",1,1,2,8,1,0,0,0,67,1,11,0,0,8,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_8.jpg",0,1,7,0,3,0,0,0,61,2,2,0,0,13,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_432.jpg",1,3,1,0,41,0,0,0,28,1,0,0,20,5,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_344.jpg",2,6,4,0,0,0,0,0,78,0,0,0,0,8,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_392.jpg",0,0,0,0,3,0,0,0,77,0,0,0,0,14,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_256.jpg",2,0,2,0,2,0,0,0,87,0,0,0,0,6,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_152.jpg",0,2,8,1,0,0,2,0,51,0,0,0,0,31,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_408.jpg",1,6,1,3,4,0,0,0,72,0,0,0,0,10,3,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_424.jpg",0,9,4,0,6,6,0,0,44,3,3,0,15,4,4,0,0,2,0
"1_1","1","1","2022_10_06_13-50-40_184.jpg",1,0,5,1,5,0,0,0,64,3,0,0,3,3,0,0,0,0,0
