"SU","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","img_name","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG"
1,"1_1",1,1,6.52272,1.28016,1.09728,0.933333333,47.630268,-122.3982391,"2022_10_06_13-50-40_0.jpg",0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,5,7,0,1,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1,0,0,0
2,"1_1",1,1,6.27888,1.28016,1.09728,0.933333333,47.63028363,-122.3983792,"2022_10_06_13-50-40_104.jpg",0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,8,5,0,6,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,2,0,0,0
3,"1_1",1,1,6.03504,1.28016,1.09728,1.039111111,47.63028532,-122.398393,"2022_10_06_13-50-40_112.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,6,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,22,0,0,0
4,"1_1",1,1,6.096,1.28016,1.09728,1.037222222,47.63028698,-122.3984065,"2022_10_06_13-50-40_120.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,0,0,0,0,0
5,"1_1",1,1,6.06552,1.28016,1.09728,1.061,47.63028893,-122.3984224,"2022_10_06_13-50-40_128.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53,3,0,4,0,0,0
6,"1_1",1,1,6.096,1.28016,1.09728,0.963333333,47.63029115,-122.3984387,"2022_10_06_13-50-40_136.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,3,0,0,1
7,"1_1",1,1,6.18744,1.28016,1.09728,1.022777778,47.63029282,-122.3984527,"2022_10_06_13-50-40_144.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,4,0,0,1
8,"1_1",1,1,6.03504,1.28016,1.09728,0.921777778,47.63029428,-122.3984651,"2022_10_06_13-50-40_152.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
9,"1_1",1,1,6.46176,1.28016,1.09728,0.968444444,47.63026998,-122.3982604,"2022_10_06_13-50-40_16.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,7,0,5,0,0,4,0,0,0,0,0,0,0,2,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0
10,"1_1",1,1,6.00456,1.28016,1.09728,0.991333333,47.63029563,-122.3984757,"2022_10_06_13-50-40_160.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0
