"location","img_name","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","richness","Shannon","Simpson","Pielou","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG","AN_large","AN_plumose","CL_siphon","CR_cancer","CR_kelp","CR_sharp","CU_burrow","CU_cali","fish_gunn","fish_sculp","GR_kelp","GR_lingcod","GR_painted","RF_brown","RF_copper","SP_stripe","SP_kelp","SP_pile","SP_shiner","SS_blood","SS_leather","SS_ochre"
"other","2022_10_06_13-50-40_88.jpg","1_1","1","1",6.2484,1.28016,1.09728,0.970333333,47.63028123,-122.3983597,10,0.98593365205794,0.4104,0.428185544611484,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_152.jpg","1_1","1","1",6.03504,1.28016,1.09728,0.921777778,47.63029428,-122.3984651,7,1.2608499737298,0.634,0.647948711476688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_336.jpg","1_1","1","1",5.91312,1.28016,1.09728,0.904777778,47.6303156,-122.3987463,9,1.34244122753138,0.5598,0.610971332370073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,0,0,1,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_136.jpg","1_1","1","1",6.096,1.28016,1.09728,0.963333333,47.63029115,-122.3984387,7,1.08964646899855,0.5164,0.559967514187409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_200.jpg","1_1","1","1",5.97408,1.28016,1.09728,0.972,47.63030188,-122.3985406,9,1.36082838858012,0.647779629448093,0.619339689996507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_432.jpg","1_1","1","1",5.42544,1.28016,1.09728,1.2251,47.6303266,-122.3988875,10,1.57741948269994,0.727967846289579,0.685064576983266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"other","2022_10_06_13-50-40_24.jpg","1_1","1","1",6.43128,1.28016,1.09728,0.964555556,47.63027104,-122.3982706,8,1.48405555749814,0.6694,0.713679864402089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_16.jpg","1_1","1","1",6.46176,1.28016,1.09728,0.968444444,47.63026998,-122.3982604,10,1.63150648438878,0.6912,0.70855426335942,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,7,0,5,0,0,4,0,0,0,0,0,0,0,2,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_416.jpg","1_1","1","1",5.45592,1.28016,1.09728,1.017888889,47.63032454,-122.3988611,7,1.05086173065103,0.5156,0.540036101441373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_72.jpg","1_1","1","1",6.2484,1.28016,1.09728,1.015,47.63027808,-122.398334,6,1.22679714575161,0.6004,0.684688523666715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
