"key","site","transect","richness","Shannon","Simpson","img_name","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG"
"1_1","1","1",8,0.904644662881315,0.3686,"2022_10_06_13-50-40_208.jpg",0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.03,0,0,0
"1_1","1","1",7,1.30551641897969,0.6534,"2022_10_06_13-50-40_272.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.08,0,0,0
"1_1","1","1",10,0.89500270481691,0.3532,"2022_10_06_13-50-40_288.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.06,0.01,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.01,0,0.04,0,0,0
"1_1","1","1",10,1.54866504041437,0.6548,"2022_10_06_13-50-40_320.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.12,0.02,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0.06,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.05,0,0,0
"1_1","1","1",6,0.65624449574288,0.2862,"2022_10_06_13-50-40_480.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.84,0.03,0,0,0,0,0
"1_1","1","1",8,0.931337597649821,0.4174,"2022_10_06_13-50-40_328.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.13,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.01,0,0.01,0,0,0
"1_1","1","1",8,1.05811775095755,0.4528,"2022_10_06_13-50-40_192.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.73,0.02,0,0.05,0,0,0
"1_1","1","1",10,0.989284885718173,0.3982,"2022_10_06_13-50-40_440.jpg",0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0.02,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.06,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
"1_1","1","1",8,1.31833513644434,0.6408,"2022_10_06_13-50-40_200.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.06,0,0,0.01,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.28,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0.04,0,0,0
"1_1","1","1",7,1.05086173065103,0.5156,"2022_10_06_13-50-40_416.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.02,0,0,0,0,0
"1_1","1","1",8,1.41754895511518,0.6664,"2022_10_06_13-50-40_264.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0.04,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.02,0,0.05,0,0,0
"1_1","1","1",10,1.54220374854725,0.668,"2022_10_06_13-50-40_128.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.06,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.53,0.03,0,0.04,0,0,0
