key,site,transect,img_name,richness,Shannon,Simpson,Pielou,cup_SI,anem_SI,bivalve_SI,CaCuc_MS,crab_MS,CucEmb_SI,encru_SI,gastro_MS,HydBry_SI,KelpBry_SI,scallop_SI,SponSol_SI,SStar_MS,TunSol_SI,urchin_MS,shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,glass_SU,metal_SU,poly_SU,UNIdent,X3rib_KE,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,cord_KE,crust_CA,DiRet_KE,feath_KE,filam_BR,filam_RE,FlatAci_BR,fucus_BR,giant_KE,holdfas_BR,LaEph_KE,LaLoSi_KE,leaf_RE,palm_KE,ribbn_KE,sargass_BR,senes_AL,senes_RE,split_KE,stalk_KE,strap_KE,StriAci_BR,sugar_KE,ulva_GR,undaria_BR,unk_BR,unk_RE,eel_SG,surf_SG
1_1,1,1,2022_10_06_13-50-40_208.jpg,8,0.904644663,0.3686,0.435042123,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,3,0,0,0
1_1,1,1,2022_10_06_13-50-40_272.jpg,7,1.305516419,0.6534,0.670902724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,8,0,0,0
1_1,1,1,2022_10_06_13-50-40_288.jpg,10,0.895002705,0.3532,0.388694736,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,4,0,0,0
1_1,1,1,2022_10_06_13-50-40_320.jpg,10,1.54866504,0.6548,0.672576681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,5,0,0,1,0,0,0,0,0,0,0,4,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,5,0,0,0
1_1,1,1,2022_10_06_13-50-40_480.jpg,6,0.656244496,0.2862,0.366257027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_328.jpg,8,0.931337598,0.4174,0.447878711,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,1,0,0,0
1_1,1,1,2022_10_06_13-50-40_192.jpg,8,1.058117751,0.4528,0.508847077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,73,2,0,5,0,0,0
1_1,1,1,2022_10_06_13-50-40_440.jpg,10,0.989284886,0.3982,0.429640967,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_200.jpg,8,1.318335136,0.6408,0.633985188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,4,0,0,0
1_1,1,1,2022_10_06_13-50-40_416.jpg,7,1.050861731,0.5156,0.540036101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_264.jpg,8,1.417548955,0.6664,0.681696949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,5,0,0,0
1_1,1,1,2022_10_06_13-50-40_128.jpg,10,1.542203749,0.668,0.669770578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53,3,0,4,0,0,0
1_1,1,1,2022_10_06_13-50-40_16.jpg,10,1.631506484,0.6912,0.708554263,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,7,0,5,0,0,4,0,0,0,0,0,0,0,2,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_72.jpg,6,1.226797146,0.6004,0.684688524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_408.jpg,8,1.066837991,0.4644,0.513040626,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,6,3,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_464.jpg,4,0.337619127,0.1498,0.24354072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_432.jpg,9,1.537092142,0.7226,0.699560781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_176.jpg,10,1.586614258,0.7208,0.689057817,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,1,1,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_8.jpg,9,1.379218282,0.5982,0.627709291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,7,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,5,0,0,0
1_1,1,1,2022_10_06_13-50-40_96.jpg,10,1.148436216,0.4914,0.498759511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,1,1,0,0,7,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_184.jpg,12,1.424539433,0.5722,0.57327684,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,0,9,0,0,0
1_1,1,1,2022_10_06_13-50-40_112.jpg,9,1.677471765,0.7372,0.763450301,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,6,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,22,0,0,0
1_1,1,1,2022_10_06_13-50-40_40.jpg,7,1.057416846,0.4856,0.543404765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,2,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
1_1,1,1,2022_10_06_13-50-40_216.jpg,8,1.02567387,0.4388,0.493244868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,7,0,0,0
1_1,1,1,2022_10_06_13-50-40_296.jpg,8,1.024240399,0.4386,0.492555515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,2,0,0,0
1_1,1,1,2022_10_06_13-50-40_352.jpg,7,1.001456953,0.4378,0.514647068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,8,0,0,0,0,0
