"category","total_annotations"
"total_annotations",140800
"sugar_KE",30177
"coland_KE",18034
"UNIdent",12490
"peb_SU",12431
"shell_SU",12288
"leaf_RE",8997
"SS_SU",7867
"ulva_GR",6059
"bould_SU",5963
"cob_SU",5539
"X5rib_KE",2846
"bullBL_KE",2775
"unk_BR",2765
"filam_RE",1958
"sargass_BR",1657
"branch_RE",1591
"filam_BR",1582
"reef_SU",1035
"bushy_RE",931
"senes_AL",760
"crust_CA",726
"unk_RE",556
"KelpBry_SI",260
"senes_RE",253
"bullST_KE",220
"crab_MS",120
"SStar_MS",116
"ribbn_KE",109
"lgshell_SU",96
"anth_SU",84
"wood_SU",76
"cabb_KE",73
"fish_MS",49
"holdfas_BR",49
"encru_SI",44
"concr_SU",39
"art_CA",32
"fucus_BR",31
"anem_SI",29
"metal_SU",22
"broad_KE",11
"HydBry_SI",10
"CucEmb_SI",9
"SponSol_SI",9
"CaCuc_MS",8
"gastro_MS",6
"stalk_KE",5
"scallop_SI",4
"surf_SG",4
"undaria_BR",2
"cord_KE",1
"StriAci_BR",1
"eel_SG",1
"cup_SI",0
"bivalve_SI",0
"TunSol_SI",0
"urchin_MS",0
"glass_SU",0
"poly_SU",0
"X3rib_KE",0
"DiRet_KE",0
"feath_KE",0
"FlatAci_BR",0
"giant_KE",0
"LaEph_KE",0
"LaLoSi_KE",0
"palm_KE",0
"split_KE",0
"strap_KE",0
