"sum","data_pts","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,99,"1_1","1","1","2022_10_06_13-50-40_312.jpg",0.03,0.12,0.03,0.01,0,0,0.05,0,0,0,0.75,0,0,0,0,0,0.01,0,0
0.99,87,"1_1","1","1","2022_10_06_13-50-40_176.jpg",0.1,0.06,0.01,0,0.01,0,0.25,0,0,0,0.52,0.01,0.02,0,0,0,0.01,0,0
0.99,91,"1_1","1","1","2022_10_06_13-50-40_128.jpg",0.07,0.22,0.05,0,0,0,0,0,0,0,0.58,0.03,0.02,0,0.02,0,0,0,0
1,100,"1_1","1","1","2022_10_06_13-50-40_440.jpg",0.04,0.02,0,0,0.05,0,0.01,0,0.01,0,0.77,0,0,0,0.07,0,0.01,0.02,0
0.99,86,"1_1","1","1","2022_10_06_13-50-40_216.jpg",0.02,0.06,0.02,0,0,0,0,0,0,0,0.86,0.01,0,0,0.02,0,0,0,0
0.99,67,"1_1","1","1","2022_10_06_13-50-40_280.jpg",0,0.06,0.03,0,0,0,0,0.01,0,0,0.7,0,0.19,0,0,0,0,0,0
1,100,"1_1","1","1","2022_10_06_13-50-40_72.jpg",0,0.19,0.08,0.05,0,0,0.01,0,0,0,0.59,0.08,0,0,0,0,0,0,0
1.01,92,"1_1","1","1","2022_10_06_13-50-40_336.jpg",0.07,0.07,0.03,0.01,0,0,0.07,0,0,0,0.71,0,0.05,0,0,0,0,0,0
1,99,"1_1","1","1","2022_10_06_13-50-40_96.jpg",0.02,0.08,0.01,0.07,0.01,0,0.01,0,0,0,0.71,0,0.08,0,0,0,0.01,0,0
0.99,90,"1_1","1","1","2022_10_06_13-50-40_144.jpg",0.08,0.07,0.04,0.01,0,0,0,0,0,0,0.74,0.01,0,0,0.03,0,0.01,0,0
1,99,"1_1","1","1","2022_10_06_13-50-40_328.jpg",0.03,0.13,0,0.01,0,0,0.04,0,0,0,0.76,0.01,0,0,0,0,0.02,0,0
