"","label_name","label_code","total_count","correct_prediction","manually_updated","proportion_correct","proportion_revised","percent_confidence"
"1","green_algae_ulva","GR_ulva",1191,1036,155,0.87,0.13,1
"2","sand_fine_shell","SU_sand",380,253,127,0.67,0.33,1
"3","red_algae_branching","RE_branch",334,123,211,0.37,0.63,1
"4","kelp_sugar","KE_sugar",332,145,187,0.44,0.56,1
"5","pebble","SU_peb",302,171,131,0.57,0.43,1
"6","red_algae_flat_leaf","RE_leaf",236,139,97,0.59,0.41,1
"7","red_algae_filamentous","RE_fil",144,81,63,0.56,0.44,1
"8","red_algae_bushy","RE_bush",135,91,44,0.67,0.33,1
"9","brown_algae_sargassum","BR_sarg",99,30,69,0.3,0.7,1
"10","cobble","SU_cob",92,16,76,0.17,0.83,0.98
"11","silt","SU_silt",92,56,36,0.61,0.39,1
"12","boulder","SU_bould",82,12,70,0.15,0.85,0.97
"13","kelp_five_rib","KE_5rib",56,22,34,0.39,0.61,1
"14","unknown_area","unknown",43,0,43,0,1,NA
"15","anthropogenic","SU_anth",36,0,36,0,1,NA
"16","mobile_species","MS",11,6,5,0.55,0.45,1
"17","kelp_sieve","KE_sieve",8,0,8,0,1,NA
"18","kelp_stipe","KE_stipe",8,6,2,0.75,0.25,0.98
"19","kelp_bryozoan","SI_kelpBry",5,1,4,0.2,0.8,0.98
"20","shell_hash","SU_shell",5,1,4,0.2,0.8,0.94
"21","red_algae_encrusting_CCA","RE_CCA",3,1,2,0.33,0.67,0.98
"22","Review","Review",3,0,3,0,1,NA
"23","kelp_holdfast","KE_holdfas",2,0,2,0,1,NA
"24","kelp_bull_ blade","KE_bull",1,1,0,1,0,0.96
