"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,33,"1_1",1,1,"2022_10_06_13-50-40_328.jpg",0.03,0.13,0,0.01,0,0,0.04,0,0,0,0.75,0.01,0,0,0,0,0.02,0,0
1,43,"1_1",1,1,"2022_10_06_13-50-40_400.jpg",0,0.03,0,0,0,0,0.21,0,0,0,0.7,0,0,0,0,0,0.06,0,0
1,61,"1_1",1,1,"2022_10_06_13-50-40_88.jpg",0.01,0.07,0.01,0.01,0.01,0,0.01,0,0,0,0.76,0.07,0,0,0,0,0.01,0,0
1,14,"1_1",1,1,"2022_10_06_13-50-40_192.jpg",0.01,0.02,0.08,0,0,0,0.06,0,0,0,0.73,0.02,0,0.03,0,0,0,0,0
1,47,"1_1",1,1,"2022_10_06_13-50-40_432.jpg",0.03,0.05,0.01,0,0,0,0.41,0,0,0,0.28,0.01,0,0,0.2,0,0.01,0,0
1,15,"1_1",1,1,"2022_10_06_13-50-40_200.jpg",0,0.01,0.06,0.01,0,0,0.07,0,0,0,0.52,0,0,0,0,0,0,0,0
1,12,"1_1",1,1,"2022_10_06_13-50-40_176.jpg",0.09,0.05,0.01,0,0.01,0,0.22,0,0,0,0.45,0.01,0.02,0,0,0,0.01,0,0
1,38,"1_1",1,1,"2022_10_06_13-50-40_368.jpg",0.01,0.13,0.14,0.03,0,0,0.01,0,0,0,0.48,0.02,0.01,0,0,0,0.01,0,0
1,23,"1_1",1,1,"2022_10_06_13-50-40_256.jpg",0,0.06,0.02,0,0,0,0.02,0,0,0,0.87,0,0,0,0,0,0.02,0,0
1,11,"1_1",1,1,"2022_10_06_13-50-40_168.jpg",0.03,0.13,0.03,0,0,0,0,0,0,0,0.75,0.01,0,0,0.03,0,0.01,0,0
1,20,"1_1",1,1,"2022_10_06_13-50-40_24.jpg",0.03,0.17,0.11,0,0,0,0.07,0,0,0,0.53,0.02,0,0,0,0,0,0,0
1,24,"1_1",1,1,"2022_10_06_13-50-40_264.jpg",0.02,0.06,0.03,0,0,0,0.04,0,0,0,0.49,0.02,0.29,0,0,0,0,0,0
1,49,"1_1",1,1,"2022_10_06_13-50-40_448.jpg",0.04,0.01,0,0,0.02,0,0,0,0,0,0.92,0,0,0,0,0,0.01,0,0
