"sum","SU","key","site","transect","img_name","MDS1","MDS2","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,16,"1_1","1","1","2022_10_06_13-50-40_208.jpg",-0.951506750377315,-0.514340914164763,2,3,4,0,0,0,1,0,0,0,79,0,0,0,0,0,3,0,0
1,25,"1_1","1","1","2022_10_06_13-50-40_272.jpg",-0.632285506692973,-0.659699696351808,4,2,0,0,0,0,1,0,0,0,34,0,4,0,0,0,0,0,0
1,27,"1_1","1","1","2022_10_06_13-50-40_288.jpg",-0.928340778125239,-0.478393207407762,1,6,1,2,0,0,1,0,0,0,80,1,0,0,0,0,2,0,0
1,32,"1_1","1","1","2022_10_06_13-50-40_320.jpg",-0.570782723513792,-0.406729372498544,2,12,5,1,0,0,4,0,0,0,56,0,6,0,0,0,1,0,0
1,54,"1_1","1","1","2022_10_06_13-50-40_480.jpg",-0.90470535435942,-0.462797625950403,2,8,2,0,0,0,0,0,0,0,84,3,0,0,1,0,0,0,0
1,33,"1_1","1","1","2022_10_06_13-50-40_328.jpg",-0.798751262490624,-0.424492539979542,3,13,0,1,0,0,4,0,0,0,75,1,0,0,0,0,2,0,0
1,14,"1_1","1","1","2022_10_06_13-50-40_192.jpg",-0.870764767226917,-0.400409290186381,1,2,8,0,0,0,6,0,0,0,73,2,0,3,0,0,0,0,0
1,48,"1_1","1","1","2022_10_06_13-50-40_440.jpg",-0.731541802348915,-0.546923379956209,4,2,0,0,5,0,1,0,1,0,77,0,0,0,7,0,1,2,0
1,15,"1_1","1","1","2022_10_06_13-50-40_200.jpg",-0.870353752384348,-0.311298329454258,0,1,6,1,0,0,7,0,0,0,52,0,0,0,0,0,0,0,0
1,45,"1_1","1","1","2022_10_06_13-50-40_416.jpg",-0.684144418338865,-0.41854981194986,0,21,0,1,5,0,4,0,0,0,66,2,0,0,1,0,0,0,0
1,24,"1_1","1","1","2022_10_06_13-50-40_264.jpg",-0.225794195360269,-0.539171995285308,2,6,3,0,0,0,4,0,0,0,49,2,29,0,0,0,0,0,0
1,5,"1_1","1","1","2022_10_06_13-50-40_128.jpg",-0.636402805574771,-0.305784535232633,6,20,5,0,0,0,0,0,0,0,53,3,2,0,2,0,0,0,0
1,9,"1_1","1","1","2022_10_06_13-50-40_16.jpg",-0.452316778184144,-0.362084911893622,7,13,5,4,0,0,2,0,0,0,52,1,10,0,0,0,2,0,0
1,58,"1_1","1","1","2022_10_06_13-50-40_72.jpg",-0.789320258683324,-0.189299752468158,0,19,8,5,0,0,1,0,0,0,59,8,0,0,0,0,0,0,0
1,44,"1_1","1","1","2022_10_06_13-50-40_408.jpg",-0.707041579855314,-0.409674786044641,6,10,1,3,3,0,4,0,0,0,72,0,0,0,0,0,1,0,0
1,51,"1_1","1","1","2022_10_06_13-50-40_464.jpg",-0.98921991869035,-0.568973497574315,1,6,0,0,0,0,1,0,0,0,92,0,0,0,0,0,0,0,0
1,47,"1_1","1","1","2022_10_06_13-50-40_432.jpg",-0.378237979725752,0.147447050662773,3,5,1,0,0,0,41,0,0,0,28,1,0,0,20,0,1,0,0
1,12,"1_1","1","1","2022_10_06_13-50-40_176.jpg",-0.531826449035712,-0.248305183536518,9,5,1,0,1,0,22,0,0,0,45,1,2,0,0,0,1,0,0
1,59,"1_1","1","1","2022_10_06_13-50-40_8.jpg",-0.709766597941985,-0.371257749338798,1,13,7,0,0,0,3,0,0,0,61,2,2,0,0,0,0,0,0
1,62,"1_1","1","1","2022_10_06_13-50-40_96.jpg",-0.603243916718148,-0.488936112432328,2,8,1,7,1,0,1,0,0,0,70,0,8,0,0,0,1,0,0
1,13,"1_1","1","1","2022_10_06_13-50-40_184.jpg",-0.777866468867971,-0.333494450763542,0,3,5,1,0,0,5,0,0,0,64,3,0,0,3,0,1,0,0
1,3,"1_1","1","1","2022_10_06_13-50-40_112.jpg",-0.638031157692892,-0.279709550041718,6,9,7,0,0,0,3,0,0,0,44,0,0,0,2,0,2,0,0
1,42,"1_1","1","1","2022_10_06_13-50-40_40.jpg",-0.675597821830614,-0.362478577375424,1,11,2,3,3,0,10,0,0,0,70,0,0,0,0,0,0,0,0
1,17,"1_1","1","1","2022_10_06_13-50-40_216.jpg",-0.890456869889128,-0.47370364516935,2,5,2,0,0,0,0,0,0,0,74,1,0,0,2,0,0,0,0
1,28,"1_1","1","1","2022_10_06_13-50-40_296.jpg",-0.837500404624818,-0.456248416189892,2,6,2,0,0,0,5,0,0,0,74,0,0,0,0,0,1,0,0
1,36,"1_1","1","1","2022_10_06_13-50-40_352.jpg",-0.916774021344993,-0.384666033712851,2,3,4,0,0,0,2,0,0,0,74,8,0,0,0,0,0,0,0
1,21,"1_1","1","1","2022_10_06_13-50-40_240.jpg",-0.540797019888381,0.0569280288103072,7,18,16,6,0,0,0,0,0,0,28,4,0,0,4,0,1,0,0
1,1,"1_1","1","1","2022_10_06_13-50-40_0.jpg",-0.728871621629845,-0.366418516192212,7,5,1,2,0,0,10,0,0,0,69,0,0,0,0,0,4,0,1
1,49,"1_1","1","1","2022_10_06_13-50-40_448.jpg",-0.991114721898242,-0.639625326532494,4,1,0,0,2,0,0,0,0,0,92,0,0,0,0,0,1,0,0
1,61,"1_1","1","1","2022_10_06_13-50-40_88.jpg",-0.900222466557194,-0.41836259835785,1,7,1,1,1,0,1,0,0,0,76,7,0,0,0,0,1,0,0
1,56,"1_1","1","1","2022_10_06_13-50-40_56.jpg",-0.731079424304445,-0.319177401110526,4,15,4,4,0,0,3,0,0,0,68,1,0,0,0,0,1,0,0
1,7,"1_1","1","1","2022_10_06_13-50-40_144.jpg",-0.770729870461149,-0.374017123319858,7,6,4,1,0,0,0,0,0,0,67,1,0,0,3,0,1,0,0
