"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,1,"1_1","1","1","2022_10_06_13-50-40_0.jpg",0.07,0.05,0.01,0.02,0,0,0.1,0,0,0,0.69,0,0,0,0,0,0.04,0,0.01
1,2,"1_1","1","1","2022_10_06_13-50-40_104.jpg",0.05,0.08,0.06,0.04,0,0,0.01,0,0,0,0.61,0.02,0,0,0,0,0.03,0,0.01
1,3,"1_1","1","1","2022_10_06_13-50-40_112.jpg",0.06,0.09,0.07,0,0,0,0.03,0,0,0,0.44,0,0,0,0.02,0,0.02,0,0
1,4,"1_1","1","1","2022_10_06_13-50-40_120.jpg",0,0.11,0.08,0.03,0,0,0,0,0,0,0.68,0.03,0,0,0,0,0,0,0
1,5,"1_1","1","1","2022_10_06_13-50-40_128.jpg",0.06,0.2,0.05,0,0,0,0,0,0,0,0.53,0.03,0.02,0,0.02,0,0,0,0
1,6,"1_1","1","1","2022_10_06_13-50-40_136.jpg",0.08,0.16,0.04,0,0,0,0,0,0,0,0.67,0.01,0,0,0,0,0,0,0
1,7,"1_1","1","1","2022_10_06_13-50-40_144.jpg",0.07,0.06,0.04,0.01,0,0,0,0,0,0,0.67,0.01,0,0,0.03,0,0.01,0,0
1,8,"1_1","1","1","2022_10_06_13-50-40_152.jpg",0.02,0.31,0.08,0.01,0,0,0,0,0.02,0,0.51,0,0,0,0,0,0,0,0
1,9,"1_1","1","1","2022_10_06_13-50-40_16.jpg",0.07,0.13,0.05,0.04,0,0,0.02,0,0,0,0.52,0.01,0.1,0,0,0,0.02,0,0
1,10,"1_1","1","1","2022_10_06_13-50-40_160.jpg",0.03,0.07,0.05,0.01,0,0,0,0,0,0,0.8,0.01,0,0,0,0,0.01,0,0
1,11,"1_1","1","1","2022_10_06_13-50-40_168.jpg",0.03,0.13,0.03,0,0,0,0,0,0,0,0.75,0.01,0,0,0.03,0,0.01,0,0
1,12,"1_1","1","1","2022_10_06_13-50-40_176.jpg",0.09,0.05,0.01,0,0.01,0,0.22,0,0,0,0.45,0.01,0.02,0,0,0,0.01,0,0
1,13,"1_1","1","1","2022_10_06_13-50-40_184.jpg",0,0.03,0.05,0.01,0,0,0.05,0,0,0,0.64,0.03,0,0,0.03,0,0.01,0,0
1,14,"1_1","1","1","2022_10_06_13-50-40_192.jpg",0.01,0.02,0.08,0,0,0,0.06,0,0,0,0.73,0.02,0,0.03,0,0,0,0,0
1,15,"1_1","1","1","2022_10_06_13-50-40_200.jpg",0,0.01,0.06,0.01,0,0,0.07,0,0,0,0.52,0,0,0,0,0,0,0,0
1,16,"1_1","1","1","2022_10_06_13-50-40_208.jpg",0.02,0.03,0.04,0,0,0,0.01,0,0,0,0.79,0,0,0,0,0,0.03,0,0
1,17,"1_1","1","1","2022_10_06_13-50-40_216.jpg",0.02,0.05,0.02,0,0,0,0,0,0,0,0.74,0.01,0,0,0.02,0,0,0,0
1,18,"1_1","1","1","2022_10_06_13-50-40_224.jpg",0.03,0.11,0.03,0.04,0,0,0,0,0,0,0.66,0.06,0,0,0,0,0,0,0
1,19,"1_1","1","1","2022_10_06_13-50-40_232.jpg",0.05,0.15,0.04,0.02,0,0,0,0,0,0,0.6,0.03,0,0,0,0,0,0,0
1,20,"1_1","1","1","2022_10_06_13-50-40_24.jpg",0.03,0.17,0.11,0,0,0,0.07,0,0,0,0.53,0.02,0,0,0,0,0,0,0
1,21,"1_1","1","1","2022_10_06_13-50-40_240.jpg",0.07,0.18,0.16,0.06,0,0,0,0,0,0,0.28,0.04,0,0,0.04,0,0.01,0,0
1,22,"1_1","1","1","2022_10_06_13-50-40_248.jpg",0.01,0.07,0.04,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
1,23,"1_1","1","1","2022_10_06_13-50-40_256.jpg",0,0.06,0.02,0,0,0,0.02,0,0,0,0.87,0,0,0,0,0,0.02,0,0
1,24,"1_1","1","1","2022_10_06_13-50-40_264.jpg",0.02,0.06,0.03,0,0,0,0.04,0,0,0,0.49,0.02,0.29,0,0,0,0,0,0
1,25,"1_1","1","1","2022_10_06_13-50-40_272.jpg",0.04,0.02,0,0,0,0,0.01,0,0,0,0.34,0,0.04,0,0,0,0,0,0
1,26,"1_1","1","1","2022_10_06_13-50-40_280.jpg",0,0.04,0.02,0,0,0,0,0.01,0,0,0.47,0,0.13,0,0,0,0,0,0
1,27,"1_1","1","1","2022_10_06_13-50-40_288.jpg",0.01,0.06,0.01,0.02,0,0,0.01,0,0,0,0.8,0.01,0,0,0,0,0.02,0,0
1,28,"1_1","1","1","2022_10_06_13-50-40_296.jpg",0.02,0.06,0.02,0,0,0,0.05,0,0,0,0.74,0,0,0,0,0,0.01,0,0
1,29,"1_1","1","1","2022_10_06_13-50-40_304.jpg",0,0.07,0,0,0,0,0.01,0,0,0,0.81,0,0,0,0,0,0,0,0
1,30,"1_1","1","1","2022_10_06_13-50-40_312.jpg",0.03,0.12,0.03,0.01,0,0,0.05,0,0,0,0.74,0,0,0,0,0,0.01,0,0
1,31,"1_1","1","1","2022_10_06_13-50-40_32.jpg",0.01,0.19,0.01,0.02,0,0,0.09,0,0,0,0.59,0.02,0,0,0.01,0,0.01,0,0
1,32,"1_1","1","1","2022_10_06_13-50-40_320.jpg",0.02,0.12,0.05,0.01,0,0,0.04,0,0,0,0.56,0,0.06,0,0,0,0.01,0,0
1,33,"1_1","1","1","2022_10_06_13-50-40_328.jpg",0.03,0.13,0,0.01,0,0,0.04,0,0,0,0.75,0.01,0,0,0,0,0.02,0,0
