"image_name","site","transect","boulder","brown_algae_sargassum","cobble","green_algae_ulva","kelp_sugar","pebble","red_algae_filamentous","red_algae_flat_leaf","sand_fine_shell","unknown_area","anthropogenic","kelp_five_rib","mobile_species","red_algae_bushy","brown_algae_fucus","red_algae_branching","silt","brown_algae_filamentous","shell_hash","kelp_stipe","kelp_holdfast","sessile_invert"
"2024_10_08_11-38-24.jpg","Centennial_Park","5",0.04,0.02,0.08,0.32,0.16,0.12,0.02,0.1,0.02,0.12,0,0,0,0,0,0,0,0,0,0,0,0
"2024_10_08_11-38-33.jpg","Centennial_Park","5",0.14,0,0.04,0.26,0.02,0.12,0.04,0.06,0,0.06,0.02,0.08,0.02,0.14,0,0,0,0,0,0,0,0
"2024_10_08_11-38-42.jpg","Centennial_Park","5",0.02,0.02,0,0.2,0.28,0.2,0.06,0.02,0.02,0.02,0,0,0.04,0.06,0.02,0.02,0.02,0,0,0,0,0
"2024_10_08_11-38-51.jpg","Centennial_Park","5",0.04,0.04,0.1,0.18,0.16,0.02,0.1,0.3,0,0,0,0,0.02,0,0,0.02,0,0.02,0,0,0,0
"2024_10_08_11-39-00.jpg","Centennial_Park","5",0,0.02,0.08,0.24,0.18,0.08,0.08,0.12,0,0.08,0,0,0,0,0,0.1,0.02,0,0,0,0,0
"2024_10_08_11-39-09.jpg","Centennial_Park","5",0.06,0,0.14,0.12,0.38,0.14,0.06,0,0.02,0.04,0,0,0,0.02,0,0,0.02,0,0,0,0,0
"2024_10_08_11-39-18.jpg","Centennial_Park","5",0.02,0.02,0.06,0.24,0.3,0.04,0,0.24,0.02,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0
"2024_10_08_11-39-27.jpg","Centennial_Park","5",0.08,0,0.1,0.24,0.26,0.02,0.02,0.14,0,0,0,0,0,0.04,0,0.06,0,0.02,0.02,0,0,0
"2024_10_08_11-39-36.jpg","Centennial_Park","5",0,0.02,0.04,0.52,0.1,0.06,0.04,0.04,0,0,0,0,0,0.02,0,0,0.16,0,0,0,0,0
"2024_10_08_11-39-45.jpg","Centennial_Park","5",0.04,0,0.12,0.38,0.02,0.06,0,0.1,0,0,0,0,0,0.12,0,0.04,0.12,0,0,0,0,0
"2024_10_08_11-39-54.jpg","Centennial_Park","5",0,0.02,0.04,0.6,0.02,0.06,0.02,0,0.08,0,0,0,0,0,0,0.02,0.14,0,0,0,0,0
"2024_10_08_11-40-03.jpg","Centennial_Park","5",0,0,0.02,0.58,0,0,0,0.08,0,0.1,0,0,0,0.04,0,0,0.14,0.04,0,0,0,0
"2024_10_08_11-40-12.jpg","Centennial_Park","5",0,0.02,0.1,0.22,0.36,0.02,0.02,0.02,0.04,0.06,0,0,0,0.06,0,0,0.04,0.04,0,0,0,0
"2024_10_08_11-40-21.jpg","Centennial_Park","5",0,0,0,0.6,0.2,0,0,0.02,0,0,0,0,0,0.08,0,0,0.1,0,0,0,0,0
"2024_10_08_11-40-30.jpg","Centennial_Park","5",0,0,0.08,0.34,0.12,0,0,0.04,0.02,0,0,0,0,0.3,0,0.02,0.08,0,0,0,0,0
"2024_10_08_11-40-39.jpg","Centennial_Park","5",0.02,0.06,0,0.46,0.1,0.08,0,0.02,0.04,0.06,0,0,0,0.12,0,0,0.04,0,0,0,0,0
"2024_10_08_11-40-48.jpg","Centennial_Park","5",0.04,0,0.02,0.42,0.1,0.06,0,0,0,0,0,0,0,0.1,0,0,0.24,0.02,0,0,0,0
"2024_10_08_11-40-57.jpg","Centennial_Park","5",0,0.08,0,0.64,0.1,0,0,0,0.02,0.04,0,0,0,0.06,0,0.02,0.02,0,0.02,0,0,0
"2024_10_08_11-41-06.jpg","Centennial_Park","5",0,0,0,0.54,0.18,0,0.02,0.06,0.04,0,0,0,0,0,0,0,0.16,0,0,0,0,0
"2024_10_08_11-41-15.jpg","Centennial_Park","5",0,0,0,0.6,0,0.02,0,0.1,0,0.02,0,0,0,0.2,0,0,0.06,0,0,0,0,0
"2024_10_08_11-41-24.jpg","Centennial_Park","5",0,0,0.02,0.2,0,0.02,0.02,0.04,0.16,0.04,0,0,0,0.3,0,0,0.18,0,0.02,0,0,0
