site,transect,photo,path,row,column,patch_size,label,long_label
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2572,2880,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,498,2252,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1622,1922,224,RE_leaf,red_algae_flat_leaf
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,181,2157,224,RE_leaf,red_algae_flat_leaf
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,680,4102,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,499,3783,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1614,3275,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2221,2524,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,984,3094,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1566,827,224,RE_fil,red_algae_filamentous
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3897,3029,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2673,2171,224,SU_bould,boulder
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2312,3474,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2037,3099,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1024,2763,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3190,2226,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3370,3855,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3507,2370,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2288,3742,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3106,688,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1698,3951,224,GR_ulva,green_algae_ulva
